

v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,J,fault point
(-352.9274178995174+65.30409331244374j),(171.4999336844885-318.15271543787725j),(147.51305917811095+315.76390253516377j),(-348.18396966697685-60.054075393645235j),(269.5249262580579-243.83402407650894j),(25.35999710155312+352.10672296074j),(-299.8999090926048-177.90244628002776j),(333.8456666172387-139.02374308733965j),(-99.96434768467353+344.418388413703j),(-214.11318664772517-273.50401052694616j),(-97.75334025751411+320.0733686033226j),(331.19742843416293-109.86445115659598j),(-298.9389844004267-188.4830216231909j),(26.857285979969305+335.62033446690265j),(266.77062107777783-213.5068468114823j),(-346.3822844864809-79.89211884499244j),(148.10939264365967+309.1977780373223j),(168.98398900675477-290.450084379806j),(-350.5102740333138+38.68934087677951j),(250.8403317319164+244.10985569972718j),(50.06580867876656-331.0723662742395j),(-310.80674549472025+152.43267552780782j),(322.2035382560292+148.49585082591372j),(-75.11313077994072-330.2938520009833j),(-232.23664871131234+247.1142135092982j),(353.27500082710935+34.3123515512936j),(-190.89912859288867-288.2118952325997j),(-124.62522098214957+310.89397222491374j),(340.1692145840485-84.16192767755709j),(-282.8130769188762-210.08886967339933j),(-1.429335301091811+335.796254941263j),(284.5250658856579-192.11170783066143j),(-339.36108189283914-105.69410610014818j),(121.94528960885951+318.707016404579j),(193.30088859746598-276.0378047424539j),(-353.4717818848026+11.917768257739539j),(230.07058357790004+261.76327605046214j),(77.90432030631143-325.44521011460733j),(-323.38062547440825+128.039318611951j),(309.4254143334689+172.08588245337114j),(-47.23422953975296-334.1554985412014j),(-252.85052965474887+228.14947607657194j),(350.0864131268996+60.88904698027798j),(-166.4661109093147-301.07944327773504j),(-150.70132482598106+299.7294059625275j),(346.9688978931626-57.92200000567604j),(-264.8813061744379-230.35322469288207j),(-29.706829761926542+333.8279954957263j),(300.4627157650588-169.48986646633813j),(-330.1729366764556-130.8211984551477j),(95.00252201941443+326.1811957893449j),(216.38349245756638-259.86292439305754j),(-354.1762452165414-14.92990360008622j),(207.83175195970674+277.74524369136236j),(105.24538481580169-317.7399691809908j),(-333.88960379595426+102.82838457340426j),(294.67149779751037+194.5770837984034j),(-19.053720747305107-335.88344198154255j),(-271.84986898122804+207.7279221423517j),(344.6623977046419+87.07694393412797j),(-140.9701472068295-312.02449073785635j),(-175.8151464828055+286.65095958917954j),(351.55305993679553-31.312219521249403j),(-245.258172975839-249.14669148296335j),(-0.595773238027947-0.8031526933589248j),9
(-196.9904472339448-283.87181028616646j),(336.7045160116025-47.81513053517966j),(-206.2980016255572+341.14247019285665j),(-89.61070787414627-360.78888604841507j),(-215.3171612461736+290.96989520717943j),(347.507230915757+12.279162766676862j),(-200.91025911502868-305.67728483214006j),(-106.86660120805065+353.84636329335956j),(328.9099258453574-118.14284290929312j),(-287.08586304727635-212.34055747548092j),(14.947690824797135+372.47413334941825j),(269.1822390680953-233.79101586402822j),(-337.36120918271234-92.4505172068828j),(134.89276523619432+344.52379165886697j),(175.7931533132178-320.20348333675963j),(-345.4493356071282+39.000515184232555j),(237.96941918445427+273.4905450617392j),(60.42102925798456-366.5743149127989j),(-310.33881730416203+165.5745099725182j),(311.2878558321553+168.25714326195003j),(-62.50678041578141-367.1048105441463j),(-236.42024545471287+271.4433138834139j),(345.6795611014089+41.98308569756695j),(-177.61808004911484-321.728631436814j),(-132.93718140032396+343.36797006722145j),(336.8438318083917-89.5409816849592j),(-270.5181332091663-236.12009575644169j),(-12.830243803728791+372.3542575214232j),(285.8855811525041-209.8678960911989j),(-329.5897330353038-120.98460176928519j),(108.88112340587716+354.777423772551j),(199.1771686641057-303.95070536117214j),(-347.44594086144895+9.28008857348074j),(216.97684142263614+292.8354623272804j),(87.56153285798223-360.02429827975794j),(-321.8538272865238+138.38429832473j),(297.9394764643979+194.27425227809425j),(-35.003724672175366-371.0766387264619j),(-256.0137013231454+250.18346932500955j),(341.64460290094655+71.41893151918731j),(-153.19174562843463-335.72562495972505j),(-158.15890985356873+330.69704879551944j),(342.6268686962749-60.36736907236088j),(-252.22304774793707-258.3919222611234j),(-40.52625270876469+369.8567657721148j),(300.76344092889076-184.60469428348057j),(-319.713707843707-148.74615611458952j),(82.17423642309817+362.765674373213j),(221.2893661216516-285.75709275898043j),(-347.22397875927766-20.49959474213685j),(194.5987884519224+310.31051979267056j),(114.14292456275537-351.175396951944j),(-331.3136847665728+110.31045313627337j),(282.6886463296081+219.05085028627497j),(-7.277157550883672-372.67900904320595j),(-273.97241758528986+227.3261132895618j),(335.42812097440935+100.39874176384542j),(-127.78722678777676-347.57888956058656j),(-182.37073675588584+315.9145078700467j),(346.22210973752425-30.808289085790264j),(-232.31742736751733-279.01382336305494j),(-67.96348690738797+364.9976054850039j),(313.7208179089708-158.16272507506378j),(-307.79619558253546-175.5579127286514j),(-0.35363665716125875-0.9353828706534081j),3
(265.10473899009486+183.16619106553406j),(-292.73608445850437+125.78797560835052j),(85.52044069239652-333.8289685333613j),(190.3038204628853+274.05628100847366j),(-313.4571891376403+5.577557541586586j),(185.1401001848033-280.7368107382666j),(91.70529608417965+330.67547013238067j),(-294.98028601918554-115.33033741064328j),(261.607880115424-192.53834791101264j),(-18.36103007274461+345.9434951870235j),(-239.61592281941705-221.81610512579113j),(305.3614391571031-80.26285024683511j),(-126.13129850662463+317.9510805651263j),(-154.28744606097658-300.56363706375913j),(310.92936874777695+42.04956454305173j),(-218.12877309907213+250.19869435179243j),(-49.66523247548608-341.7255075539558j),(277.6153959829633+159.10365629565754j),(-282.84911497576024+151.15881271004096j),(61.16764794843009-340.15440022798947j),(209.5854529562808+256.2617412689648j),(-312.1990069199919+33.21643170120389j),(164.351477642838-296.0467829907231j),(115.34672447521682+321.37414319343213j),(-302.50822750072103-88.87968383327588j),(246.98305737956287-214.91833959200483j),(6.683819544906811+346.29851751037637j),(-254.98861444381498-199.8613420808489j),(298.72925900238596-106.91423009563199j),(-102.81490099186524+327.9180563982461j),(-175.5825236042073-285.85022071831065j),(313.11918924423196+14.459567416164887j),(-199.45655705397945+268.5312474431094j),(-74.2197338345388-336.09335936657334j),(288.3533787760404+134.02518742886554j),(-271.1560521141669+175.56444639996297j),(36.42427776189692-344.30782367684037j),(227.52880691583738+236.83087809885976j),(-308.94732170223784+60.64320699189004j),(142.5134117762923-309.46639000503893j),(138.25162252439873+310.0207267077138j),(-308.1045450958492-61.86150149238652j),(230.7811589485584-235.92600033901653j),(31.68599056967483+344.44229918822043j),(-268.73311201051445-176.63039244910772j),(290.18958503493815-132.88292411351514j),(-78.84199333761231+335.7911574440381j),(-195.75644355304254-269.31154785393693j),(313.3096310453251-13.222759251769276j),(-179.51073912014135+285.14913189187985j),(-98.30031548601168-328.3151341406291j),(297.25012148526315+108.09091951304717j),(-257.7315602876992+198.84903792494316j),(11.448325455032034-346.2627177766357j),(244.01930756983086+215.88776455145404j),(-303.7228966645721+87.68275358423061j),(119.76534649388026-320.90994276154896j),(160.273734215639+296.68771632487216j),(-311.73350430295994-34.44831120437824j),(213.1056397739439-255.42718867883258j),(56.4858351428466+340.38669284247936j),(-280.76165195676583-152.27159420333368j),(279.79694614593694-158.00311284466937j),(-272.11815021102063-180.36017377704366j),(0.9228869671495289-0.3850709621167822j),62
(121.17498804496852+317.76742615326833j),(-328.26642851927807-81.14460363301971j),(272.00672611305106-220.57632898559035j),(2.4698756458865176+345.3403044375097j),(-274.96502417778834-193.05565122958535j),(326.8699841362572-114.10754566673752j),(-116.54409617062632+329.7281724069302j),(-187.2790801438531-280.824974901793j),(340.8579563757158+6.630454054884368j),(-220.98415949575227+272.8833364506581j),(-76.17377583300004-333.4769685607939j),(312.22143858945896+126.5393115562882j),(-297.79002233918203+181.9142770894202j),(44.45710441786679-344.4274691070526j),(244.541444346101+230.62435294190615j),(-337.3570659045815+68.19672926166638j),(159.52859733924205-312.3071099390862j),(146.28139714979105+305.8696819259636j),(-334.7374078783534-54.048860091385535j),(254.65094435126497-241.13256106083097j),(29.72877430098214+342.86582539870756j),(-290.2586380536095-169.5356073673372j),(317.9290394263457-139.80424211043658j),(-313.3927274418786-182.7370813914125j),(57.437672107540365+358.67791501631416j),(244.59665079658518-246.87004624837562j),(-350.40375722112697-62.98886634923247j),(175.1000892357948+322.3150759328753j),(140.67730561442886-323.06460438153334j),(-343.59658890561843+64.63614386587442j),(270.8661361384816+245.64654504362449j),(19.16617975693117-358.8597417309098j),(-293.82246293888835+184.17836587557767j),(332.76021173411596+138.25976770240564j),(-104.74168827014016-349.7792550969651j),(-207.30566335516062+280.6889737704478j),(353.0424250841719+13.583524238550908j),(-215.5515459282646-296.9586647300484j),(-94.86516736161127+342.0992586744151j),(329.1764733549669-112.79134700438377j),(-299.40655466005364-207.00321684822148j),(29.438274191394726+360.729827962476j),(264.14680799440686-225.06159326952854j),(-345.8205957863395-91.16189367201746j),(150.06044206081916+334.25091787251614j),(166.08542730468616-309.18775353623914j),(-348.9895658791834+36.07927848780561j),(251.9174624656339+265.97373184840495j),(47.25496522153601-354.6498014647535j),(-308.5171833450719+158.80871542985562j),(322.27205446788565+164.43637258140114j),(-77.48475834744738-355.7626809423088j),(-229.46454367370723+261.679028123167j),(352.32633452409124+42.33614719419164j),(-192.53496683383366-312.38722572882295j),(-121.71722643907574+331.82622282688317j),(338.3219970511656-85.05823856114759j),(-283.5085632890072-229.9475622779268j),(1.2509023015409468+360.47835115296465j),(282.01029277324795-201.8160410320461j),(-339.0292454082253-118.75281950023536j),(124.06260496590552+344.05244742551434j),(190.43303377783212-293.3366276272567j),(-352.15411889506424+7.292033933913544j),(0.9190728898969674-0.3940875829767244j),22
(318.9066260943616+99.56171240066256j),(-250.7784075693606+214.98678537361647j),(-18.536330518586254-357.0625271376672j),(272.98033129446475+212.68550848490003j),(-308.4263597386007+102.31807099614599j),(96.43790425446646-335.23716484851775j),(192.91768382673752+299.21285532845695j),(-327.5054123165557-23.14557896973821j),(199.35252178489162-271.4901958547148j),(88.73056534037602+348.3234567830474j),(-305.6297184391647-145.71486052942458j),(277.33798798562026-173.79321651544927j),(-26.552363076729947+353.87600294904075j),(-245.53484662710116-250.06241217769667j),(320.64217395941847-54.363292161004836j),(-138.51490271031653+315.1761446283541j),(-154.73569631644136-323.1395105644182j),(323.84986551343565+71.86479418772102j),(-233.15607143689425+237.06332210434212j),(-44.586755217878576-355.80782110466964j),(286.55993891242565+189.1061453121174j),(-298.64093485944574+129.30559025815666j),(71.13778611977213-343.9821521497488j),(213.43552164023805+282.6996605744313j),(-326.7805718875881+5.378117500443857j),(177.9665050240706-289.14131063077747j),(113.6208655365422+340.9414152659996j),(-314.0561041868189-119.2218920470574j),(262.54040670489076-198.14317637307076j),(-0.402147330394655+356.5482433480207j),(-262.0587340056084-228.91313313733863j),(314.2834744925312-82.36712014816212j),(-114.3748714346589+327.56850169328607j),(-177.29076338853432-309.97865087964396j),(326.7252070078687+43.70899340424027j),(-214.04494988999676+257.6261242191497j),(-70.35247744111695-352.28115410090896j),(298.3097582054085+164.31927135402742j),(-286.9485801489949+155.46744679736395j),(45.38342762265718-350.53068963181363j),(232.59049684595357+264.38132676168846j),(-323.9691199192025+33.86747275513713j),(266.7759375913649+249.4728267629573j),(4.437753548834394-332.67400653611384j),(-272.09126500761045+148.9880720127575j),(321.4600559398797+154.2232712376236j),(-112.93810396531863-333.70927674205853j),(-186.18823569575488+245.47762431761618j),(335.94540324086773+39.68800398504094j),(-216.1909844564953-293.0140035591271j),(-77.00225685353409+311.2700538076884j),(308.42057820531403-79.81027175350543j),(-292.40905385334617-215.67715508512592j),(41.81289997270654+338.1379780730532j),(242.32757656264886-189.32822557591282j),(-332.06119727937306-111.36975018507113j),(155.39932880684376+322.72154721600594j),(145.9313674491127-275.17057226726195j),(-330.1888906328297+6.864508165625921j),(249.5529792157388+266.94859507761447j),(31.286354105179278-326.602675355414j),(-287.02626697262787+124.24035569045193j),(312.4998812577453+177.79356247013072j),(-87.27103641391736-337.1929197817314j),(-0.9804280149716189+0.19687789987403614j),41
(78.35060908977084-383.8222222891185j),(240.24607925777235+318.34678032101056j),(-366.1057891988054+2.521784873384732j),(198.25779824704344-321.3672527577677j),(128.642149338997+382.39642891871546j),(-352.3391675123395-136.6487682175121j),(293.3727319036508-218.72511727196866j),(0.9514421899358041+398.62717681178617j),(-294.51232352393515-258.7313116288187j),(351.8012310765042-88.73127587716637j),(-126.85824337044431+365.00935932982986j),(-199.8565384423705-348.45935075005474j),(366.2367772184301+52.35846430142842j),(-238.80423020212874+285.7469045289264j),(-80.20857444854123-394.61234096135394j),(334.8741967049524+186.9007474011043j),(-320.8876061193437+170.75162948970967j),(49.46951945016333-391.41882340684606j),(261.6353988688954+298.07098095819634j),(-362.8437961793118+34.40376170057863j),(172.96142054057623-339.2781493547147j),(155.67893890742022+371.96726119496947j),(-359.42615387935683-106.24631693627879j),(274.8243931968263-244.71054108376538j),(30.254735111445925+399.3488143492938j),(-311.0620574202837-233.61023049524783j),(342.32041214838085-119.54173421232056j),(-98.95284129140678+376.79156092563727j),(312.5995835702835-152.73243806161983j),(-275.46388072203285-193.85600435508593j),(17.33778254861754+384.9238212498676j),(254.697520016451-267.1872053997308j),(-322.40220221401034-64.8998581110736j),(131.46030637663293+344.92112895635677j),(164.9453802110636-348.2300539061565j),(-329.0239367069384+72.17205396143723j),(229.14364076190037+261.78584449107007j),(54.56672257886488-385.726527209252j),(-294.5010323670041+200.21880779230275j),(298.17242668374377+145.91408458589822j),(-62.63553614227284-374.98766903731587j),(-223.15059889979443+303.22808071338824j),(329.9145734369965+11.795681682645963j),(-172.0051838428575-317.35637998713713j),(-123.89505041584064+368.31850192476657j),(320.4007067049637-123.79777822550798j),(-259.865481076646-220.0394870062457j),(-9.146352243268566+387.3504755689898j),(270.82054117682986-243.9102523902563j),(-315.22944545684607-95.20652539991468j),(106.7461027132442+357.9440420306403j),(187.37410601869644-333.5216045312651j),(-331.1737803334399+41.53206879144102j),(209.28989408342318+283.7764933007129j),(80.49642754151985-381.4258818048957j),(-305.7046371539681+173.07705309681592j),(285.6618598119301+174.12252542762826j),(-36.44737704088753-381.63262586729707j),(-242.0069474100114+282.97864904814674j),(326.31164019452893+42.6944322641796j),(-148.8334154626885-334.1159832505923j),(-148.04614506127936+357.49359675428343j),(326.1559560351314-94.07262502833917j),(-242.60774682523012-244.81793835440283j),(-0.3165920876750111+0.948561779760063j),27
(164.70740863356238-302.4910257771296j),(178.97399976323362+288.4552213272817j),(-379.07384364807876-43.006742273285134j),(275.06238863725673-236.94381724116644j),(49.61736540682392+326.8066320221549j),(-334.49167865225496-154.48942299690415j),(351.02065346498256-141.7666435371949j),(-85.94394998262655+324.29067915280064j),(-248.08113044368244-246.6531095575951j),(383.0835769560197-28.86146680321753j),(-210.75792334797856+281.2219841208294j),(-130.647889431926-307.97267817561806j),(367.2416714719674+87.65285350763813j),(-309.2164931396371+202.98631283685788j),(3.1229478008016116-330.78008035144194j),(305.47597670887126+193.206132392946j),(-369.00735668861375+99.36708249248306j),(136.50325855498818-312.22323688793523j),(205.5103295058487+274.5988695949825j),(-382.6536309728112-16.678060574071775j),(252.81375569936316-254.62269208903408j),(79.84549345787532+321.6528549527687j),(-348.4488412826478-130.63760225362472j),(337.50974243960655-165.1814283153741j),(-55.804069001301635+328.4839596318808j),(-270.67031689769294-228.260834129967j),(379.99993529677755-55.08412875916886j),(-184.47529946602614+294.23794993228904j),(-159.04430851812708-297.3399130368836j),(374.97091040103743+61.90147383633043j),(-290.07778409395644+223.1973097202399j),(-27.52971483411477-329.23645910153436j),(-241.92612325351718+195.1339858727444j),(317.29717070673394+95.51437121697722j),(-138.11714233017906-309.53649840262693j),(-151.86711128535825+275.23353494385236j),(320.0162521744171-20.12497063985805j),(-231.43293909117028-251.12881461271286j),(-42.81702679230942+320.91496689163534j),(282.7171111135354-133.24767295737456j),(-295.80790927207136-161.31732330295813j),(71.5873523484133+326.46579150133545j),(210.06402728162203-229.7076745789422j),(-323.19192459200684-51.33300483900082j),(177.03969053170312+291.1918748565072j),(111.14231199151385-297.44259497304415j),(-310.1605976601715+65.07053638864103j),(260.35311019461545+219.50424119781135j),(-1.6778154679594977-327.9821420877369j),(-258.3435036542549+173.33696836773623j),(311.1092186929265+120.3674717201317j),(-114.28813110599418-317.50732740586426j),(-174.22040097597156+259.9275094336841j),(322.96093449321955+6.1786783662658795j),(-212.60664802475404-267.32803272885513j),(-68.31093361183386+314.01396096313096j),(294.426193490879-108.78276238945409j),(-284.33857725024365-183.7192086789561j),(46.14085659946498+328.8327800473052j),(229.07328200720116-210.1408540558892j),(-320.5137984006257-77.13618839455089j),(154.8227052702648+302.5308645525135j),(135.0746204641903-285.22070703034746j),(-316.6085785711508+39.092758092677215j),(-0.04241961213602028-0.9990998831479411j),31
(-349.3715934990647+36.20562667179705j),(185.02237927197356-299.6662293924992j),(127.76070088389869+322.7201467595051j),(-338.0479920406922-86.87241566050282j),(277.1368988425694-218.66855227719404j),(6.106765413065972+348.7830734290006j),(-284.45128826673556-199.08701078387406j),(334.59528450308613-110.32624273910027j),(-116.31082470208348+331.23046947516j),(-195.2837818380719-286.4056568860263j),(350.212330977632+11.81242902333264j),(-224.1836770616266+272.25729845439j),(-81.6959224282218-337.90910537609625j),(322.03511732294004+132.47394951595788j),(-304.02222736630296+179.23819045215842j),(42.10806063533295-347.15681941053367j),(253.5872208529953+236.56952388882766j),(-345.8426174503427+63.80524020786973j),(160.64640569050104-312.9923668531703j),(153.42809170176622+311.0819386998514j),(-344.4151826787686-59.606593245561044j),(259.09582223764846-239.68803280114574j),(34.082688496843545+346.69337219220444j),(-299.9184246181285-175.56458678785367j),(325.1451522264527-136.41056779437716j),(-89.52477516085594+338.9505934428479j),(-217.91668930951-269.5681244096307j),(350.5348876869437-16.074880212500062j),(-201.9371124777399+288.82184153612764j),(-108.66434248906396-329.86200786249105j),(332.0900271099934+106.27098069367821j),(-289.09709386269606+202.57574669082703j),(14.176544941742833-348.90645118639907j),(272.1171112730194+215.32759230444702j),(-340.1053118420446+90.99743432569468j),(135.2446470020878-324.31993542508167j),(178.11578894493147+297.45736052264056j),(-348.58315844193004-31.96016128405674j),(239.40032557533755-259.17701898691075j),(61.8409813503382+342.38990902067206j),(-313.4704739064276-150.9211197304645j),(313.61885115342284-161.6238622886441j),(-329.0227612545236-154.05476058349421j),(80.46876191926503+346.14323307426923j),(232.64115473355048-260.53892887247014j),(-359.11512979317854-34.08225528544179j),(197.48964770356054+301.36101237320264j),(122.57154364943366-326.87344755559195j),(-344.2999379195416+90.15225629204417j),(289.81433566918565+218.89341796801742j),(-2.8257118155671606-352.3322473523199j),(-286.42983418247314+203.11317464033104j),(345.8975687150258+109.0530715517625j),(-127.86961033863574-333.7316902172325j),(-192.74150944803228+290.67466978429275j),(358.72610521694463-14.424426275175591j),(-236.9233380925541-273.3977868748774j),(-74.95074440571938+341.8871247160561j),(326.69572906103747-136.0981410235836j),(-316.3496616081693-178.87532779625639j),(52.212655769745965+350.3463915094825j),(253.8118578221031-240.7527023502542j),(-356.21627192468105-61.984402666357795j),(172.84683230983705+314.99463382448727j),(0.8816496943181944-0.4719044569705127j),41
(254.59417148210602+225.8632385234114j),(-319.62001203128824+102.92633696277586j),(128.2312815394741-349.1434465592251j),(166.030760423096+315.26086367304305j),(-327.09492800059456-28.460828556667018j),(225.7477868495656-281.17185430116115j),(56.70510409668945+365.2349304524603j),(-293.66642882222766-156.28895055007268j),(295.0343972462165-178.03955455484j),(-59.711559198356845+369.5361521099826j),(-223.51476818588674-264.57304639051966j),(327.42678092045355-52.64330269780251j),(-168.6612565274838+327.62665832100663j),(-125.41245294714051-339.77212553704715j),(318.87425104216004+79.33602544890746j),(-256.51976348798684+244.74725619176834j),(-11.627235931404336-372.48249844957303j),(270.4463065556121+201.39433646172546j),(-312.300321567812+131.26206421595808j),(103.6119738479289-358.6137135547429j),(188.1988907008656+298.2681660060043j),(-329.02753882721083+1.3624730974129466j),(205.89444471823208-299.90007064624245j),(82.41709171237915+357.8433841225434j),(-304.6096668064661-128.70749609171767j),(282.4296929079861-203.68374566485608j),(-33.671013577405915+372.67007437873576j),(-242.1001749139615-242.68251640029723j),(323.64694014413243-81.9966472334224j),(-145.548538607759+340.89415034614905j),(-149.31591226190528-326.3099438003578j),(324.39194516328683+49.94418066733488j),(-239.22513238185152+266.48921021033334j),(-37.859606039087424-369.13211879352184j),(284.57154464502787+175.63945909248955j),(-302.9864811737468+158.75963595610355j),(78.33106641988729-365.79410294653854j),(209.16530334048485+279.3709187709353j),(-328.85919042195616+31.1770748704969j),(209.20778857747516+248.24318017362282j),(78.28017964970603-328.51079720382137j),(-302.9680166888357+145.23122702251433j),(284.6003155446915+154.55982985221706j),(-37.91253092160487-330.355545446985j),(-239.19051240684146+241.12412792059277j),(324.4034039075216+41.548680948781765j),(-149.36425696874565-290.88913639293276j),(-145.50209239110038+306.8643133157309j),(323.6396538101613-76.6581552007827j),(-242.13789391080175-215.0468679498087j),(-33.61854924609616+334.2309339531294j),(282.4045726562028-185.2788434825127j),(-304.6320433103339-112.31286086149858j),(82.46901346252854+319.8017776573725j),(205.85463185105178-270.73030227061946j),(-329.03177464299864+4.465936228056643j),(188.24377702414017+265.38121899887517j),(103.56244698805419-322.3267758575798j),(-312.2858870042379+120.68626533806896j),(270.4785443906091+177.77458118146507j),(-11.680283420710747-333.6160945561901j),(-256.4884635958049+221.8147052405045j),(318.88980902845344+67.93712633115992j),(-125.46238744581363-303.1865223536477j),(-0.999062435299445+0.04329261338314121j),38
(232.49675878411614-216.54770795145583j),(46.8559869639306+312.158173965415j),(-288.61860272699175-157.34031490175934j),(298.83747145631355-123.70352449582023j),(-69.31452437297114+305.50643724344377j),(-215.81587332352694-242.2173685528956j),(327.8083807158566-15.390141781693842j),(-176.8172132415708+260.6509389735942j),(-116.02524069585255-296.80499631028016j),(315.7866571416589+94.84778730900311j),(-262.2088045071484+183.20088587332435j),(-1.725582762281249-314.2769828799758j),(264.27562441150366+193.22494422615142j),(-314.8110289314539+82.84145311344551j),(112.78986032127293-292.44844595737663j),(179.71676778267076+267.4392070291057j),(-328.04594708732964-27.877352593144295j),(213.20086433764385-234.0490570579328j),(72.68422253216902+308.21003804685j),(-300.25852459352-135.11007878971077j),(286.9509735576591-146.38169447182673j),(-43.43752794414347+310.43902062942846j),(-234.92359514767884-225.44720933411742j),(324.81769299170793-40.409213993491775j),(-154.12738973496488+273.8474191801459j),(-140.2113305072914-287.59203236203155j),(322.0657668693661+70.61646271099796j),(-245.54352983742967+203.01103520759509j),(-27.965555655651414-313.77330081949407j),(279.03932518777503+172.81150878423898j),(-306.2543056006858+106.78800062748724j),(87.77732855139989-300.7170315256769j),(201.1188500509744+253.3963729775437j),(-328.6677984335124-2.7889368980315226j),(192.54360565470205-250.05591871545894j),(98.04834318502787+302.29387012981545j),(-309.9811877362309-112.0171162069122j),(273.2321904371076-168.12516465500232j),(-17.283167268939636+313.3893391610821j),(-252.5312452824849-207.23748855937282j),(319.7529274162088-65.1702588331892j),(-130.45340738408103+285.2952850746517j),(-163.5021205201414-276.542689800743j),(326.2883707842601+45.93422658812912j),(-227.3103713739201+221.5248860310747j),(-54.02695841310364-311.26606332586846j),(292.0212594638992+151.29460967467165j),(-295.7420383268625+130.05266833119134j),(62.204306953148375-307.06543063840985j),(221.23671609159112+237.7355119029937j),(-327.19098761968667+22.317287162739277j),(170.6568867652383-264.46608335248106j),(122.78638988517628+294.44744707532055j),(-317.72450945237927-88.20888402916941j),(257.76872146141704-188.79509516411065j),(8.981552648408965+314.33855399294436j),(-268.52639254594146-187.7044818483492j),(312.6464243400518-89.51516811953132j),(-241.33427382252978-254.11892050760588j),(-23.587857204086973+393.8865691667094j),(269.5866728590425-217.65943693016425j),(-299.3100724654124-133.18458114771371j),(88.91251296251563+377.18151218861743j),(192.81494771449374-318.5852637918986j),(0.9709165222193893-0.23941826764348248j),57
