v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,J,fault point
(506.06356921838227+218.494658791832j),(-486.0921360046815+264.854538855569j),(76.15417426259587-535.7246663180168j),(394.87833472771797+376.8106584348718j),(-549.1204207119811+84.39901213911486j),(262.8316518481109-477.8997293331221j),(234.31332979267552+488.00626129205386j),(-543.4808704524042-106.61066120590905j),(416.64187516219175-360.31314716662473j),(44.44730370842709+538.1763911395886j),(-469.87871433764576-284.28860800558783j),(518.3507843659138-197.66919180327275j),(-150.97688412077258+521.047243422602j),(226.34652468361082-383.61374038002253j),(-120.1300791171272-61.57318542178817j),(-82.46050306919909+457.36313564870903j),(218.8972972372595-486.234345425021j),(-179.72413439289463+125.02493942514846j),(-3.6323871003561408+336.48549593889214j),(184.0748326749141-528.0510565926412j),(-216.84357984800644+295.98862129132965j),(75.64996103421036+173.53014497965418j),(114.72823997514419-167.3592663585784j),(-213.06591995280786+26.924721891479674j),(140.47185469667696+135.11013154978315j),(44.81549949486524-188.7531286599761j),(-194.1497010476454+90.96927295703578j),(187.72765944317186+79.79451587007398j),,(-150.9549466381536+143.63806237386066j),(211.50800880476666+14.500548556813037j),(-102.37915711142878-161.0061208851029j),(-88.88318643502865+178.34482672292071j),(208.83915596050102-52.60672097153831j),(-161.25429394713487-115.33503062186318j),(-15.69653094256614+190.7494644952147j),(180.05484254472051-113.13548877682805j),(-199.96448548704416-55.24122623268914j),(59.45298507312934+179.30076836491162j),,(-213.66899927259652+11.760526328209924j),,(61.35345081235235-185.95005897180877j),(87.15542194507739-162.94525796035856j),(-180.04052681062677+21.637835272740197j),(128.4884477878823+137.02850125276478j),(26.143253858830178-185.76397285583565j),(-159.80157783364774+85.47063643158705j),(165.2593777815842+83.39136200454134j),(-38.138143660093505-185.35279254123017j),(-119.57934657425119+138.61528370719589j),(181.3645243656638+19.326083375949725j),,(-64.40364695656447+174.4260073724769j),(174.78992938806576-47.155933464808726j),,(-1.1742330101622844+188.42465514982322j),(146.357749858195-107.74107279976977j),(-174.12602912485625-59.377588473769j),(62.2020194720385+178.8606878149095j),(99.62344672426103-154.8531269477399j),(-181.5261846937488+6.614927741270183j),(117.7998724509495+146.9300851670867j),(40.43117236859918-182.6007055375711j),(-0.07569118199573427+0.9971313077865365j),12
(26.537294418852984-171.8618302118327j),(124.74391988759301+119.94875688014515j),(-175.94955224074636+28.19298763785215j),(85.99997758436527-153.71695930245156j),(72.94292205715986+155.92178104659484j),(-173.36749566867235-33.03863865194388j),(134.708312440883-116.34969127422926j),(12.020368471563948+172.39669382471428j),(-149.10573072632593-90.13876354257427j),(166.5712927659422-64.43282520245451j),(-50.40533933542514+167.31329758012157j),(-106.1982055391586-135.9669824803458j),(177.60443393287932-4.45859604497436j),(-106.5278295012881+141.30727403440045j),(-50.01053163290672-164.79244945016305j),(166.42803508147998+56.07318319779193j),(-149.32895127569793+97.63069188801336j),(12.430988976626697-173.01052267571004j),(134.4397115305423+109.592977555893j),(-173.45639894292196+41.745333696518244j),(73.31800702656625-159.59352721591307j),(85.63962215162084+149.40810493661382j),(-188.922104089151+294.1856120921872j),(140.64217298403352-501.7694589891182j),(20.467684591533903+306.8096736194541j),(-165.15737957657237+134.28761219138772j),(177.3498683659105-467.65290632455066j),(-47.263749091212716+425.84451027104774j),(-120.7396265905282-42.40313342463775j),(191.87985730489555-375.0560797855613j),(-109.08482286000239+491.62723782254994j),(-61.22331154057332-213.7913420046043j),,(-157.26477469814273+495.9316870972239j),(5.9490150041695955-358.444816205025j),,,(72.37741368698357-458.27455310573777j),(99.08849359231309+110.67959861514744j),(-191.060837818104+325.70786176870513j),(129.75497377242186-500.79678477584577j),,(501.0744215168855+243.99493434306729j),(98.66870540818081-164.13781043965992j),(-203.82024421868334+47.188257225408385j),(145.45736427092385+107.61798918438947j),(29.59842056488055-176.08790027639597j),(-180.90892654783292+103.29161489988519j),(187.08557653897486+52.370179924429294j),(-43.173164361185044-166.018093529855j),(-135.37484009319854+146.47829474218256j),(205.31862627090254-9.426551460068914j),(-110.54591942492681-135.18762551844557j),(-72.91204942804853+171.34777677103105j),,(-164.094841564207-87.45186459035986j),(-1.3315636483545141+174.7901174781296j),(165.68972435539618-121.9033177776009j),(-197.12360623996264-28.780196020285118j),(70.41543495694988+156.3748501121813j),(112.78339044500458-158.51806623469923j),(-205.50194679961888+33.49045316696078j),(133.35694157112542+118.40481480198012j),(45.77342652930223-175.31003629765362j),(0.10560669625339864-0.9944079774953751j),40
(108.14416587845318+139.20000958263364j),(-174.50551503141276+11.982728839633268j),(100.8701333892818-153.55234493020347j),(53.68812858028257+171.93487267987553j),(-165.17518742831217-52.38296276710585j),(144.15075376409948-109.19308337674903j),(-7.4816411051323755+183.16917776303995j),(-135.1896044693025-110.198133747233j),(169.40523670809685-51.179161850683954j),(-67.7158271238126+171.49806830463137j),(-88.29848112463588-154.23296260859243j),(173.47549411971755+13.234744281943637j),,,(155.85253789057617+75.99363777635433j),(-156.30708160063722+87.95934942356773j),(31.364554505964172-181.3471091580663j),(118.74012917091771+129.2494817017956j),(-173.58576103432034+26.53830644626795j),(89.17253306737231-161.03578670551204j),(66.77919672802511+166.34260112402924j),(-169.15743788403583-38.201367524557654j),(76.94886761779907+141.27823818750232j),(76.99179118980491-131.0149002319394j),(-169.16592609877637+15.645097792346958j),(125.62700568402671+112.2759557839433j),(18.695950651731458-150.12382884317802j),(-148.02011471506432+67.5351343320216j),(158.59541202600235+69.23349838102118j),(-41.93782962684079-150.4596834350005j),(-108.36430001394999+110.97986218555384j),(171.7313678366629+17.533350858246422j),(-97.32725938581112-131.98046519109224j),(-55.15746519231102+140.54649231450438j),(163.39221403483802-36.35935260988799j),(-140.54585751441186-96.9970113355438j),(4.946843433172226+152.5377000490148j),(134.6207667596265-85.70529742482745j),(-166.1891126307014-49.884023564586855j),,(89.01491259242825-124.33374385985879j),(-171.05032044192032+3.466991000521144j),(115.86092104671943+120.18114905842215j),(-110.27687213073298-300.06644912965044j),,(-250.53599936296732-176.1674680973265j),(-1.1618121350597015-186.60159828973394j),(251.9275619691494+399.66987317459467j),(-300.5848852213645-292.1037220835217j),(108.09853315859861-49.80210668140275j),,(-313.04545253725337-371.51223201817623j),(203.84109263494625+93.2251679661519j),(68.89441162950152+259.8516168619471j),(-286.35949996213606-404.4629165393761j),(274.09320232912125+224.59457995334725j),(-41.93613360886097+135.45434830111802j),(-223.86412172570107-386.8352729642785j),(-249.87866061274332+406.82709077520906j),(523.1567437412924-100.4426178588556j),(-376.7332844629905-286.52176183127017j),(-71.92376437849244+443.6245812675164j),(462.8801045767397-244.83039041951147j),(-482.4917260755912-150.37853409377234j),(-0.139612103452159-0.9902062717280999j),57
(199.39496981498573+79.0905416604204j),(-195.96251377251346+97.52171708364102j),(35.31948887437284-195.89735636741864j),(153.6585314815084+137.11469920479087j),(-219.36427552959873+31.667975029890556j),(109.08543008291504-175.04507412107478j),(88.70700246292412+177.99258212269663j),(-215.33440425769544-38.145866122465975j),(169.21017342722175-132.30330132195613j),(12.662610065424843+196.61238686044257j),(-184.37683775441457-103.18954404510723j),(208.17508401835647-73.01692206116279j),(-64.96524924648118+190.64569576932936j),,(221.107576629017-4.599733300725944j),(-134.4691655295425+160.8386471164636j),(-60.04688808163765-188.0450499668209j),(206.39043537211657+64.39265484271034j),(-187.1576327445398+110.91863005100632j),(17.777960988688008-197.24564651850318j),(165.86404750861834+125.33270322780143j),(-216.4419267520829+47.12817237578449j),,(563.6910705280936+306.43594406421005j),(-385.2445684637257-71.84441614305734j),(-102.26368521220891-220.38416344433944j),(507.7310841553269+335.8099503196288j),(-92.53052921591924-567.7393981757697j),(-396.9024738305666+344.20095051082944j),(567.9211919717243+155.47208120668185j),(-283.3261708509434-530.4179196608384j),(-228.56675349474875+479.8369505852537j),(557.092417201417-44.30766406234591j),(-438.69170643279244-426.76736505086893j),(-31.648624791123325+555.4690548091544j),,(-539.198583399094-269.74929780211426j),(169.2271832522499+561.6394235991654j),(336.5064156578369-402.9553473409498j),(-572.2783570513072-78.99892054403657j),(348.94103145372196+497.5764486708818j),,(-533.7943820340348+121.63031867922837j),(166.855179254054+160.53741002852865j),(16.590831130832683-239.41214837121225j),(-186.7268775350859+126.21892783841002j),(207.0616273913098+88.23319708293275j),(-61.28156475764527-231.90040075415942j),(-133.66152130558606+189.5259313595831j),(221.37489596106045+4.895370402784891j),(-131.49066455191897-195.3893701982348j),(-63.881712398232395+229.1326045239482j),(208.00510222190314-79.05462525567987j),(-185.25677859558263-134.4447827739312j),(13.88654261111779+240.08610931300404j),(168.62414682694282-153.11879304165953j),(-215.8564223728473-56.68779535964413j),(89.91827721380676+221.01670344292057j),,(-219.46309224318543+28.158034555428102j),(154.70567781009007+174.30902745120582j),(34.16408416086087-236.93699046519313j),(-195.62577199577157+109.48268551427653j),(200.14704145053048+105.80390398023556j),(0.682432665006254+0.7309484644846461j),26
(-29.031412871395272+197.7592707826005j),(-127.55929025391791-160.89140787234828j),(181.81578569028807-5.051293223354143j),(-90.21089904369532+166.94160355404446j),(-73.76551663984455-194.90331726101647j),(178.563681291432+66.5042005796256j),(-140.10945867584917+115.2477895832285j),(-10.74732132915392-204.5424509899792j),,(-172.4872472298175+49.14217103020905j),(53.614832901165805-188.60342965763653j),,(-183.2954030039472-23.108705216634796j),(111.2724204124763-149.07943735458147j),(50.018658276699135+201.66887352012355j),(-171.1823596951094-92.46982414202148j),(155.01532561905324-90.91297280846888j),(-14.487529615803062+201.36100332617622j),(-137.66286056817762-150.2675366011772j),(179.37347222724452-21.377786980664162j),(-77.18204331952566+175.87281999210091j),(-86.92853891050277-189.27420430036963j),(176.3953341929631-316.17947228540936j),(-124.34929470870007+567.9787445590595j),(-27.455739399655798-364.1181061126697j),(157.2344567075262-131.85561810007852j),(-160.8721182245041+522.0484134541939j),(35.45041664079287-493.42882235052394j),(118.41131696220154+68.95685949396126j),(-17.01559486832619-131.46615421864328j),(-98.03085713898815+88.50696677243118j),(134.43223300628225+25.456773157406538j),(-62.98559541121915-118.99786330458498j),,(133.64231841628262-21.22669779211796j),(-101.0792098139278-91.64881886069918j),(-12.574510295769034+130.99923792895177j),(116.14035248114936-65.2557575671481j),(-126.53280895534716-52.83903514895694j),(35.414550488073786+128.54380839840348j),(84.11496644295374-101.1245460751773j),(-136.16340513509294-7.4216986881964075j),(78.97500068557544+110.01389923063718j),(-82.02301357646328+177.73597179949874j),(185.17175319187547-23.609380460002463j),(-139.766791924015-149.45779324391285j),(-17.76582295730016+202.6227252207979j),(161.04583881067816-93.23394586886117j),(-175.12712454031447-90.95159631557073j),(48.71299438137357+202.17138642917183j),(116.78104657238833-151.19955093540977j),,(109.10022282123087+176.43839560875594j),(57.91271505414525-190.25756229557845j),,(155.84440355613452+128.64167855544287j),(-8.197635900682535-205.52375241556518j),(-146.02567018759453+117.52477117700288j),(183.1001490038775+64.7582431436071j),(-73.28286761405741-195.0890751477636j),(-95.32546050807179+168.91005283809946j),(187.4591119974064-7.223249060879745j),(-129.20403317834078-160.2583930861178j),(-32.704745337562926+199.17303200406332j),(0.9590000854761496+0.2834057798576767j),28
(-139.4019724069846-110.96407300602525j),(166.28354346356826-58.267465125389464j),(-59.76444540243139+180.75403575361045j),,(173.19222586592983+8.767446889701542j),(-112.74073491603303+147.72978572577716j),(-38.15680476097344-185.71106749038955j),(158.4431174910193+74.70598446050889j),(-151.61872852357314+96.23183819320214j),(23.158491446755427-189.96784437122588j),(123.88060310690602+131.30249427477995j),(-171.53671001820513+32.700042101431116j),(81.57780453536128-170.46902941050746j),(73.82674567874311+171.47954914343177j),(-170.0039239762401-34.920913689626985j),(129.79576468296537-129.6529610077356j),(14.540809826258599+190.21298447684927j),(-147.21204620320123-98.17498846937116j),(161.78268731589606-72.6237127747499j),(-46.56346293698883+185.16017305281062j),(-106.01121456042505-149.15222259301868j),(173.53858874822816-6.512826097081312j),(180.5981577679621+286.92830548660015j),,,(46.879127062794566+197.13768970938486j),(-342.49538517880137-353.0230276482272j),(363.3453459155745+225.69628625971893j),(-92.70216634308514+82.6948886698487j),(-252.31115690834994-324.74424016100636j),(-166.6089797687286+373.1524210659602j),(451.86736664650317-122.19975352951249j),(-374.6159837206727-226.7874431449859j),(-3.1703881139059362+393.8348276596207j),(378.41332187308313-244.92894080819116j),(-450.0748591245015-100.4707415778872j),,(257.63846629835143-337.029618471034j),(-469.25160590337504+38.40988593595519j),(304.40850150377116+291.02410745659904j),(104.6457673916311-386.9845420384249j),(-429.7481604753452+172.4873343854914j),(410.085876517636+180.38752232444506j),(-108.90451600579763-136.48815964076957j),(-43.098005847761385+169.99176852777097j),(160.52523120488482-67.11979151033978j),(-149.17138293940926-89.59891568868004j),,(127.43809809496457-119.33338710415649j),(-170.78427977993496-31.50527407870697j),(77.11908485551245+157.068886659076j),(78.41475507842428-156.62427171759862j),(-171.0405009323487+30.5281207792291j),(126.44931722520401+120.05915931136467j),(19.585600335356478-174.32919806679254j),(-149.90800578926195+88.74395599004998j),(159.9669873236978+68.03596273742176j),(-41.69274536988986-170.2341545892639j),(-110.02942542792074+135.86230676142625j),(173.48069058473615+7.504828587585447j),(-97.75738848752616-144.85122890567067j),(-56.391600023409595+165.99099532571068j),(165.30053038397355-53.96478883744723j),(-141.5974120749862-101.35457095849276j),(-0.1182774161783356-0.9929805903552077j),29
(-3.7656379135713713+208.70283007365j),(-160.79951958468305-135.80046713181517j),(196.36355610848304-46.04757260125449j),(-74.39528829486751+190.95403129566887j),(-107.25646371100922-182.66796705621013j),(202.86191354998536+27.836859789020565j),(-135.72176365979576+149.3263174151144j),(-40.30092330490993-206.69272913580403j),(183.99226813584153+98.24027631849384j),(-180.07615181601946+89.02525879320541j),(31.694271512376876-204.87044259398976j),(142.11428023982145+156.35868790753534j),,(99.72607884029412-177.42898544585455j),(82.46481713752229+194.9243526456206j),(-198.49846414363773-56.042013858134766j),(155.2870807393765-127.79992821695903j),(12.503079641146002+209.11461123665367j),(-170.26266720959427-122.66747922518474j),(191.42934090076542-62.189414009642825j),(-59.02217539526775+197.15496341017857j),(-120.73542254936811-173.95330341058605j),(127.17989987147254-351.5034739499626j),(-31.59453474620183+594.9672311629597j),(-89.33748818907533-361.1196135576448j),,(-76.6693270891547+555.677095723632j),,(132.68560222953315+46.945027323332546j),(-112.15657451299253+446.8992092104146j),,(-449.61683622950875+330.4710672252761j),(536.8792468870515+186.3970469783418j),(-193.4312620457032-553.7284705958233j),(-305.19659957542655+476.8322397599412j),(558.9810464618022-17.39821524988239j),(-364.32396949728917-455.9934956760721j),(-122.6113467579964+563.5652573185674j),(511.1819339592299-219.0178203208876j),(-489.65774803583287-301.2362631129887j),(75.30652784269942+579.8241045077137j),(399.45921680606256-393.2491167926611j),(-553.7595341658971-108.80925681491823j),(-44.28207420986604+188.7480939197754j),(173.77435779121933-52.12007072696423j),(-163.85648013836857-126.32118403775702j),(22.485040488735297+203.42149956472662j),(136.92498183635982-117.32728850398198j),(-186.48718750181007-62.89252552497338j),(86.44038751076386+192.65692579031148j),(82.95305552471191-167.8626591228546j),(-185.79756123386414+8.400880683405681j),(139.58631270075438+157.80048894469257j),(18.60780031849581-197.4067044531799j),(-161.87383950920068+78.64375176945848j),(175.2768865276645+103.2110071715203j),(-48.06437137665792-202.2649240675902j),(-117.70769794799163+139.0521749566711j),(189.04898152258346+35.71492761050794j),,(-58.82213880157676+182.0720410231531j),(179.18038902127523-36.247324874528j),(-155.79149932361597-138.6567414687773j),(7.419163761533966+202.32369014944246j),(-0.14149928667156195-0.989938357611947j),30
(55.38835421104879+203.27317907349627j),(-201.36523795050329-50.484098428481836j),(185.79722722761724-142.80575799919353j),,(-160.4363531963283-122.53215109780253j),(213.33666520850585-74.76684811327529j),(-95.08802709987327+212.08427994622505j),(-99.44480712336879-179.2574854482329j),(214.19822641342748+2.6217005651307197j),(-157.11150967919787+176.1173388092457j),,(188.27417210165783+79.6824040297209j),(-199.4881045975978+118.12681978296042j),(50.66306943600852-221.16901811877713j),(138.80632067223735+146.77877551302646j),(-216.9185934749918+45.36447173691119j),(121.00832074558032-201.11415436930292j),(71.98065634647247+195.52037388390534j),(-207.22328331785974-33.07073046114865j),(176.22140962746-155.90984608846662j),(-3.846231835433695+219.8120332976533j),,(28.181152815369124-407.397041314376j),(137.86055118146336+595.330968282353j),(-193.30387971984726-305.66171299215154j),(93.6695237167736-229.22409342209633j),(81.11103665193829+580.2152894408777j),(-190.82041597156956-465.7298289515358j),(147.44446500711106-22.386536413419456j),(14.218538782646092+492.5433438174712j),(-164.47474579640829-567.5581530049295j),(182.78138831814968+187.25047027866825j),(-54.45199581187109+343.2785603181057j),(-117.56141090769853-598.41299271018j),(-366.0887437526285+441.74474539316935j),(556.0448721982317+69.31241731038925j),(-299.91501723457964-524.7638197879012j),(-196.8211126748028+559.2244060346152j),(535.6578643269164-145.0482336575147j),(-444.7640724088202-385.49261932007664j),(-2.94088448098087+606.7727223395228j),(448.2865221658315-341.27051680053046j),(-533.9951159932425-198.0153376977797j),(9.602175263463941+208.81770426124007j),(160.1135554685967-142.74136840997517j),(-201.37847868579493-37.8489696091693j),(81.08788508494193+188.07504086979552j),(104.2553162626426-187.4182540088044j),(-205.9598805038246+36.40551508616418j),(142.43350668386523+143.81348183959358j),(35.359887796342974-208.65837555618913j),(-184.7858768574266+106.10746848320883j),(185.9677336199571+81.56796143318041j),,(-140.50428948685533+162.54061988394298j),(206.2465849413125+9.12231897154318j),(-106.52793422316239-173.46689408903404j),(-78.65255721052374+198.64797016598476j),(200.73417823793625-64.46407489912181j),,(-6.965275909713473+209.91427371700814j),(170.11984324425518-129.98919789094063j),(-196.7960769669232-54.21947458897428j),(65.59301728325482+194.93067258209427j),(-0.12073326166210084-0.9926849850422996j),33
(-378.5739419418343-243.25794204927396j),(459.12707942227115-94.10363825795186j),(-171.3463557806372+355.97074660155187j),(-253.89666891562877-332.2609734698926j),(475.4515545777038+41.995441064917415j),(-315.5762987319857+281.9608572526881j),(-97.46946654399349-379.71457268658435j),(432.3205302597141+172.84296552361337j),(-420.34323797152757+172.69159512755323j),(71.14635054765944-379.68463891436824j),(335.12756669317963+282.0763744184187j),(-472.54600548158515+41.82714639651846j),(230.86527421916298-332.17491538925026j),(196.02670173645367+356.03596504672345j),(99.40665071891458-72.38884294867243j),(-315.091199146901-269.3320962263296j),(277.99440840099135+394.9818529914949j),(-17.877111120097265-203.75813941251408j),(-256.58206591413114-150.93016945737998j),(325.19874907552855+384.53502547147946j),(-132.92532958869904-309.6473594439496j),(-165.98719284526632-13.65433529597861j),(80.64841589847991+161.2444927485818j),(69.39040544264896-179.47655031849283j),(-163.76090072102838+53.72387311112995j),(126.75451241566294+115.12868320237216j),(11.940452027391935-191.61946363633024j),(-141.05621063417524+114.3838792561677j),(157.00988182169576+54.61596339767331j),(-47.002662010418106-179.80024914191054j),(-100.712357574068+160.7401133188458j),,(-100.06806522889553-145.49690663223382j),(-47.774364343295886+186.9957006788858j),(157.28989735481983-78.47753530125334j),(-140.61989741739205-92.99908947552228j),(11.137841542178338+189.86736453252215j),(127.27952737307331-134.41489308218095j),,(68.65725372328828+168.9960016081516j),(81.35277684772201-173.54358859684268j),(-166.09769073899042+38.86614851614469j),(117.59103552147253+126.99158824387177j),(85.10118416017542+151.1030364323215j),(64.05709412665774-167.32960249787j),,(129.76991630553937+108.26091353015956j),(6.393531406898288-178.9860073555673j),,(158.2108432911895+51.88069904871631j),(-52.06954621513925-168.26010561731533j),(-95.84444923546481+149.65314968945972j),(166.86741029437226-10.987227682845619j),(-104.02129613666006-136.49317767017058j),(-42.2757129086949+174.47218046741318j),(154.65710846651217-72.48119506266654j),(-142.96512115367383-87.6576967338522j),(16.579626442885758+177.47336138446815j),(123.10684330808958-124.91134592240276j),(-164.03107280245408-27.86056872366938j),(73.36167365407145+158.28139298326545j),,(-164.58484130926638+35.420539963683886j),(120.96979997402535+119.29624231867179j),(-0.038690511671792265+0.9992512418338918j),13
(-211.83094159474436+32.8014737847632j),(105.5396751543656-187.69816276048107j),(85.4206029681215+192.01434338961747j),(-207.85235833343535-42.2873676435905j),(163.53493875437803-141.3645715797632j),(11.978086833274858+211.60704137830868j),(-177.881714130356-112.08814861560802j),(201.0800610700001-77.35325670627829j),(-62.96229617896779+204.73815307896032j),(-125.6668558554508-167.87223998628144j),,(-130.0292066338665+172.2666370557685j),(-57.737282568673116-202.6638079757418j),(199.18414225605625+70.47430900175472j),(-180.83588751939092+118.25307568611751j),(17.4123722181169-212.11214632935472j),(159.98018690096893+135.80463488666686j),(-209.02893319504702+49.45189692097544j),(90.38459951039636-195.03573472060236j),(100.77061409344347+184.15251046670178j),(-211.08278654321862-25.533270944709827j),(152.0541789159339-153.5699885701241j),(-194.22558715657516-5.741572705815827j),(80.57987274763825+160.44696776235662j),(97.71089743803489-186.43407590016133j),(-197.6132785695462+62.854787066912905j),(138.9807678011885+111.14963992088234j),(31.148810163329387-195.98447123616288j),(-176.2893120505781+123.59111836065563j),(180.00203524124032+47.952983548120145j),(-39.3084543348652-181.0268919653084j),(-132.92026228626727+168.87230684991584j),(198.5139411943872-21.240221917065554j),(-104.850173256427-143.43179226510466j),(-72.92945472501837+193.03591300229922j),(192.20156081907092-87.77732500789449j),(-157.28031569703126-87.90046169682783j),(-3.8187755064949016+193.0602635073776j),(161.85426103284001-143.33782143809177j),(-190.042461183855-21.377126151784935j),(65.76944385871539+168.9423133200188j),(111.26698971016842-180.97383810798337j),(-199.03968395235796+47.81943172353229j),(375.2393821753909+61.64358930184176j),(-601.4978340859661+79.73626692554924j),(345.2057469078211-157.14784860659043j),(188.02702039767075+108.4878556875725j),(-570.4154539176243+27.206321363080036j),,,,,(-454.00764561049687-153.69913640685058j),(103.927014859785+491.05460672636923j),(329.5288737963497-434.46241544226706j),(-498.6208251535829+29.323544677536177j),(267.69512998952194+399.34008626133516j),(177.98849440991998-507.6338621732599j),(-480.88117416762054+208.67929907223635j),(397.98781001574713+257.6878506709065j),(4.190548014242609-517.3253927392063j),(-403.0070465515497+361.93958309430604j),(478.51187786478266+83.81159620335097j),(-170.13142890116984-462.3250754829012j),(0.8121629006188845-0.5834307352705373j),48
