v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,J,fault point
(-2.22501995706546+8.063904765219533j),(8.269909144379458-1.9378942352468826j),(7.831343255173943-2.979321033897742j),(-382.81595477304097+410.360205546201j),(8.323328421351023-1.7183082371497984j),,(8.209600923133126-2.1399587529619932j),(7.6380547509918-3.278347361161295j),,,(7.572979936168016-3.3678321284875343j),(8.30661456048625-1.7926960855962966j),(6.919445289907411-4.063325218771435j),(8.296358555425028-1.8355011789105031j),(8.187613987971673-2.205644309549447j),(6.895479897693494-4.0835223067836495j),(8.243961296554598-2.0293632559225765j),(7.322493548539246-3.672445515427451j),(6.86320460403126-4.110250360313097j),,(7.971894705352844-2.720356173404439j),(7.9869671456496-2.6898249909388365j),,(8.069452177234833-2.5106109124825546j),(7.012323404648707-3.9821141665826687j),,(7.832620307421868-2.977149594121996j),(7.307506324019233-3.6889505711148223j),(7.441657714357082-3.5346960633743354j),(7.713856747408187-3.1675344630204867j),(8.235124243218928-2.058844891550552j),(7.377155978055386-3.610736025851471j),(8.263022248182383-1.962945269898511j),(7.018091713903213-3.9769112326164326j),(7.9065388081224635-2.846121227114354j),(7.481761512917096-3.4855357455021885j),(7.226611711273575-3.7751313589312394j),(7.796321285022171-3.03775378391514j),,(8.281279349551422-1.8951571540299763j),(6.43460924554913-2.650692254991827j),(-5.482045016084758-4.889033276763722j),,(5.32451647743834-5.299691486259828j),(-6.508969515591024-2.1588256347252974j),(2.4716136449329116+7.885428832166094j),(3.548589759322396-7.285961147423698j),(-6.721943508719258+0.8413444359829085j),(4.502630352198692+6.278239312969813j),(1.3289097827820902-8.361117036862112j),(-6.094334471052681+3.7363038849381205j),,(-1.0569511519014774-8.390710271607103j),(-4.704625285756209+6.164036312497235j),(6.691924678340407+1.0077245230732383j),(-3.310639716865637-7.371040200065774j),(-2.7265999123922247+7.820952335728157j),(6.576429740576584-1.996519740743635j),(-5.150330817634679-5.429617170701354j),(-0.4076115994928844+8.499853621176685j),(5.638548355206886-4.751098024395835j),(-6.34596998868018-2.8092172871751098j),(1.962348786177436+8.115843159608422j),,(-0.9788973473217568+0.20435259579077478j),3
(-7.342014044687195-3.9778598773026697j),(1.9500180379055914+7.933241037318684j),(2.292843480471433+7.717353879098648j),(1.7995946117471198+8.01426548232334j),(1.869131263614692+7.9777808633851235j),(0.6167274111200998+8.414437089877856j),(2.0963729478621858+7.846648231325959j),,(-0.020795206619428352+8.480259367918023j),(0.8094152513985122+8.37503989334153j),,(1.2575368612091355+8.246253148976995j),(0.3453154688322524+8.454390589887417j),(0.5431934050230809+8.42703729522213j),(0.2752601789361564+8.461809783692244j),(-0.14080884495890977+8.48183398823897j),(1.97665654800246+7.918065317781116j),(2.457787983289423+7.5961034170043025j),(1.0596474158614408+8.309716356054317j),(2.450095952083961+7.602034911167417j),,(0.5044732252169628+8.433138630396892j),(1.6060868263807317+8.107412574988727j),(2.2286985692879484+7.761294234252974j),,(1.692633313222507+8.067242289888782j),(2.4430923969024567+7.607411138664233j),(0.43707903124348935+8.442886494749168j),,(0.542183471789214+8.427201096016256j),(2.0974018178607476+7.846011102150717j),(-0.1943421882550651+8.481441151872303j),(-0.053085161328226604+8.481017031949493j),(-0.21044698244187288+8.48119075665625j),(1.9846102888556625+7.9134845427335065j),(0.1889750530134111+8.469335488589516j),(1.5776899450877457+8.120081729385632j),(1.4228236328628578+8.184863998479317j),,(1.1039893564175483+8.296421497426914j),(-316.2127146065687-464.89327199044163j),,(-146.2229404607757-206.8114919380622j),(-210.94757642114072-313.0957831802284j),,(-266.81860126806896-383.7832240184072j),(-79.30331843250464-122.14548060219236j),(361.80429572472985+530.083196441584j),(-354.04843740941254-512.7626358426925j),(62.25786665818357+84.0791869194497j),(24.033804237889584-92.44604267801552j),,(85.01479158832498+60.528077135656254j),(-10.782222289214296-99.14584441092138j),(-72.10036515358792+58.224039043172155j),(97.14056630379883+29.407895332605953j),(-44.24992551089097-93.44739937523424j),(-44.140137224847045+82.51889789963565j),(97.1188554697654-5.389761259679602j),(-72.18414924852536-76.06330150940391j),(-10.660158902483737+96.4947195305781j),(84.95237403892388-39.51342500316404j),,(24.152878626250597+98.40381913484842j),(0.8921566127132986-0.4517262206159094j),49
(-2.437902413205532+7.582137155421369j),(7.8962349777930045-1.70290236988171j),(7.239798234567477-3.0392286118284764j),(7.706510662678131-2.2365236598996012j),(7.662199445070959-2.33444869480614j),(7.316950766928616-2.9323741594249286j),(-380.3527022673582+378.93045194401776j),(7.96082119673023-1.4362627615599468j),(6.683903880218457-3.6439709892903567j),(6.863219732625406-3.4748178103460527j),(7.87332183652769-1.782065941817918j),(7.915143288641117-1.6325478268879767j),(6.759784611319817-3.574899749087111j),,(6.921098912475926-3.415586251313203j),(7.77830785649829-2.0609633608705487j),(6.958365673973488-3.3761332503645285j),(7.992047177478285-1.2670341370866411j),(6.842293607789419-3.495646401555741j),(7.99210410107058-1.2666839784123978j),(7.556744350296467-2.5435212179939524j),(6.814917488425788-3.5224418540576905j),(7.884592217277714-1.7438813124240098j),,(7.557346110244705-2.5424090023529198j),(7.584925632158269-2.4905184624790477j),,,(7.576558287790873-2.5064547284688405j),(7.747492293574291-2.1392133870629646j),(7.458984501108917-2.7141046035158474j),(7.947138433930411-1.4999024985566325j),(7.290053305470534-2.970464930773407j),,(7.117641925370078-3.1946639811159567j),(7.910674450003659-1.649639799703408j),(7.595144132264206-2.4708194226220868j),(6.903466517708164-3.4338885891055453j),(7.113962392100222-3.1991110587326013j),,(8.069472671108224-2.68768464089917j),(-7.227323213091784-4.362957969198679j),(0.5870669041246217+7.913425515062873j),(6.524162756719972-5.115361891010559j),,,,(-8.524866896748748+1.0133768498536662j),(6.047672479465928+5.689586124165034j),(1.2812561417030146-7.8280890189889165j),(-7.5822993627041475+3.6865217920511966j),(7.800456764897785+3.4125508111442455j),,(-5.691560786991602+5.898664993154962j),(8.577789295860647+0.7087739910203315j),(-4.582502004765177-6.747600335087525j),(-3.0890891522200916+7.373176631131505j),(8.282464177368249-2.0836354379238737j),(-6.831247439612647-4.877498480737905j),(-0.10032508303577126+7.925668149310451j),(6.951411991007625-4.615485016995845j),(-8.22574132214486-2.397462542545184j),(2.9009846974080333+7.487050154983148j),(4.751081603762813-6.570165451587216j),(-0.9999351178104898-0.011391232124828938j),6
(4.15719705011773-7.125303834264769j),,(-8.318392562708244+0.40652121395462637j),(-7.827082918547206+1.800844034555549j),(-8.372569115359445-0.2142385964368359j),(-8.372896981809326-0.2595982532552656j),(469.683042656152-301.0492264711678j),(-8.168618808681952+1.0252579385573806j),,(-8.296399349259762+0.5298893129054493j),(-8.215138168515903+0.8718318791442831j),(-7.938956177985756+1.5898841394159087j),(-8.073943695479485+1.2872488835062832j),(-8.201114451617615+0.9203647552079652j),,(-8.098763750776131+1.2236082305694453j),(-8.065355253142993+1.308580901979941j),,(-8.155545129068456+1.0649075693028556j),(-7.927031132700956+1.6138151921925337j),(-8.112893006484663+1.1859460956306158j),(-8.275938963933696+0.6290632357628747j),(-8.148609338036872+1.0854192653134658j),(-8.075630374466371+1.2830194271702617j),(-8.168658807484453+1.0251345613612872j),,(-8.371757318737583-0.3652318151195036j),(-7.594610216884901+2.1653775558969697j),(-8.32156301969414+0.3867596584040849j),(-7.614783870098893+2.1368268355919837j),(-7.800194778565326+1.8475319594768718j),,(-7.77382658226464+1.8920118598084232j),(-7.724883705720328+1.9714088001574976j),(-8.287770255469939+0.5732046758842235j),(-8.262848057463145+0.6868950012781327j),(-8.372175583134483-0.3453347277290084j),,(-8.12701031906102+1.1471736932292278j),(-8.163868994841264+1.0398173399199804j),(-8.432675293473617+0.9321721939904608j),(5.9430551803086455+6.008792886810128j),,(-7.517344366986431+3.727989038478838j),,(-1.6928196131881492-8.116562709723008j),(-5.66196505965028+6.057618638062587j),(8.474448601866088+0.8610389250569067j),(-4.488321227179271-7.088929582766066j),(-3.0985536565487184+7.62973942675305j),(8.199619527123696-2.049604747172631j),(-6.722555604183172-5.174821598345191j),(-0.14766627714304903+8.247756765571358j),(6.899423157262934-4.703944127633721j),(-8.116130407490713-2.6135990975174024j),(2.8216868579813488+7.834387218994179j),(4.7364498210761035-6.770052499255347j),(-8.494778279709788+0.27445552378626215j),(5.4381863745117744+6.441322894497478j),(1.9811806197658415-7.989561782223173j),(-7.811149079378913+3.1281893187242535j),(7.374637452850973+4.242767313794676j),(-1.0218363955143712-8.20997161591533j),,(0.9967786316203074+0.08020199215198705j),6
(-5.360452263063795+5.692759888389131j),(7.504761529128646-0.3068700906722568j),(7.5185621518462025-0.2710658398243968j),(7.628736595565028+0.06272845103332347j),,(7.7473560047669645+0.6511673379402239j),(7.627798744850129+2.219902619918409j),,(7.565454763507484-0.14084515483145577j),,(7.742521963561681+1.6656837364778245j),(7.771006946399824+1.3667889135517295j),(7.7519045188195435+0.6893906480546899j),(7.72185876675649+0.47708727399114137j),(7.776175540579793+1.24245949396916j),(7.64698968841399+0.12977545911761545j),(7.775949740106051+1.0284675494591355j),(7.7753894294641945+1.009993759106767j),(7.774262673677388+1.300143659488247j),(7.546447260768345-0.19535943323397564j),(7.777487781357225+1.1275805745562342j),(7.777255254984901+1.0950104424591744j),(7.743353970667504+1.6594183028727851j),(7.757068560679769+0.7372250727650531j),(7.482796268767513-0.36183551764895716j),,(7.706715188550216+0.39306963394530126j),(7.62225650450471+2.2393254294734053j),(7.767693258439802+0.8606156943076071j),,(7.756179461379814+0.728587862396405j),(7.494880822132865-0.3318900258246873j),(7.6793353801118664+2.017309523241025j),,(7.682412826969204+0.2756938606301551j),(7.643747319366055+0.11752054012449831j),(7.768081125856584+1.413127605652389j),(7.537597628955766-0.2199043556015643j),,(7.763022001112044+0.8007443408097168j),(-497.4451872410708+178.56906174437307j),(601.1763335925647-219.57417965141758j),(-222.61486403912474+84.42631286523383j),(-334.5389737054348+118.45240925860845j),(623.309530647236-226.30290234325852j),(-412.03115476116994+152.60230524148216j),(-129.7984626825412+43.523212595643486j),(567.4975004450698-204.73231259925262j),(-549.9227046992776+201.695288651682j),(91.17342324147612-36.8485876694073j),(440.71957053341816-157.559825486862j),(-619.0460935810787+225.56615634312476j),(588.3663524980159+374.2638950633005j),(-85.67077945269835-673.8414200434571j),,(667.483543845016+155.4174237952695j),(-313.7256134561817-618.9823993321686j),(-291.7181174796642+585.9698752375748j),(663.1315213310074-82.86408868706042j),(-502.548873041509-486.71926170672083j),(-61.202691014941536+665.8329731227582j),,(-628.5280973748597-293.5915911346699j),,(-0.860986411273608+0.5086279579439117j),51
,(-3.063121118920277+9.156825995553122j),(-1.2368008953334715+9.198576784188928j),(-1.7338529977189752+9.255880885150965j),(-2.3690910779918477+9.254498429279318j),(-1.9262470303185522+9.264242472214418j),,(-3.4352135912634374+9.061191058631143j),(-2.854462475504565+9.19698658663853j),(-2.592295738966315+9.234202298527435j),(-2.1147332225541+9.265035485280784j),(-3.8051554418685245+8.933893472095923j),(-2.410244015113878+9.251536227724532j),(-1.3328236194567373+9.213708508446642j),(-3.9113184268575756+8.891062227290657j),(-3.863437967146127+8.910739835734473j),(-2.8307752502952193+9.200950301401015j),(-3.221823942322665+9.119868921908886j),(-2.7140968885463854+9.218725185889927j),(-2.769875608449821+9.210589682695957j),,(-2.61764469032867+9.23123879740257j),(-4.004642616112839+8.850975301290125j),(-1.0333622256556372+9.159953047120535j),(-1.5636014003135434+9.24208775880722j),(-1.672912075708676+9.251635907548552j),,(-1.02139998230308+9.157400927870144j),(-1.8573800409696068+9.262127458348562j),(-3.3079653969401868+9.09743902688923j),(-2.297137611300329+9.258834520166062j),(-2.2559719421628657+9.260833758730666j),(-3.104553266201287+9.147718093354623j),(-1.4519704798308473+9.229760539300495j),(-2.6616546967180437+9.225772550175673j),(-3.5141501751369235+9.036804805896779j),(-3.5235614863929077+9.033798874889396j),(-0.8726877191668172+9.12302503622257j),(-2.3679524222194996+9.254575396325848j),(-1.5491370820171841+9.240637676157661j),(-123.36337331451382-632.734219167957j),,(-60.75244170989681-283.9491890486607j),(-80.95148489993768-425.23602224087574j),(157.71223056240004+793.2764111486399j),(-107.94862723129015-524.9122476978131j),(-28.41656518700764-164.56180800351586j),,(-141.64577276067558-700.23471780307j),(27.67186289127651+116.69095812813413j),(108.50174845512942+560.4679096328979j),,(-469.0587353628857+517.4419554104135j),,(-392.6590092200173-718.9342035257467j),(-249.13794171242188+692.8793816515116j),(691.0644338202308-110.96334101250389j),(-578.5857457469028-559.972837339945j),,(576.2648624907289-376.27602364441805j),,(252.77103046045076+772.715750352096j),(389.4030276172559-594.5351658887681j),(-719.179217820627-60.610169815582594j),(-0.23712407403696592-0.9714793736936012j),51
(3.1633407982169985+7.6056634617470795j),(4.02709889759416-7.1472201887105555j),(5.378075585834108-6.411280590293311j),(4.8618620119352975-6.770868250767664j),(5.232516289768995-6.524629905382498j),(5.40416001463093-6.389852558826441j),(4.761541902882992-6.828225457689239j),(3.572044962491626-7.267139630110499j),(2.8152558264408656-7.350958199923133j),(5.211906021185778-6.5398639395731655j),(4.200516314712731-7.086679194557585j),(4.083569602809764-7.128441226946905j),(4.014316863250715-7.1513473994802j),,(5.117491539515318-6.607210216834432j),(3.2107354941388957-7.324588954764193j),(3.433385727221247-7.293024587809105j),,(5.181707938973393-6.5618353482490095j),(4.503290408210802-6.9597139854893415j),(3.163952780834122-7.329676954097231j),,(4.319913830479312-7.039936314517151j),,(5.258910648351627-6.504833189135101j),(5.324173945518535-6.4544619978575035j),(5.099238181470042-6.619781087153431j),(3.753372701911837-7.2258990827456735j),,(4.032030853477643-7.145615577449831j),(4.6206892618939435-6.902728570425073j),(4.071245162782621-7.132615827730632j),(3.966960521340341-7.166245184303872j),(5.1085806769085-6.613364829001948j),(4.048853986864211-7.140091237459622j),(3.102995700388443-7.3355095069883545j),(5.121327696774321-6.604550128889612j),(5.301414258117638-6.472261796095342j),(4.767021571120711-6.82518675830978j),(4.256072519466951-7.065454192366181j),(-52.63619294151712+550.7187603527894j),,(-573.9517363768449+357.54726500100094j),(627.5699848455365+238.97717474141388j),(-177.7213588851631-643.7826124086073j),(-414.70390272999197+532.1146247877575j),(674.4337156098265+6.44134895280051j),(-393.100311625912-539.8297622575744j),,,(-559.3218367678902-368.370879501074j),,(519.8323880040847-431.8673153839783j),(-655.5998338022281-150.84699933037155j),(265.4135100269864+612.5445842714546j),(337.700317534823-582.8293949583554j),(-669.8946819792125+85.54038775897006j),(464.66726100195103+480.3732393273254j),(113.33862165356854-660.9083123022086j),(-600.4188020385036+311.23089852012913j),(605.8140948245334+288.13093530674604j),(-125.19613622561639-656.3402523973161j),(-455.8601940580468+498.001800448561j),,(-0.1929134705856238-0.9812157728382731j),41
(4.337962580682466-7.207999459520275j),(-8.41526528760349+0.6721570773026044j),(-8.228540556744857+1.25755203493011j),(-8.428749415023942+0.6145411647643606j),(-7.908177455842679+1.8969342649508911j),(-7.924310808647737+1.8702991069959678j),(-7.817334697906554+2.0392833021027172j),(-8.089643459233361+1.5681339843393638j),(-7.872493297674509+1.9543395630850402j),(-8.442305540083611+0.5526300315301678j),(-8.409612222572461+0.6952969136422547j),(-8.427738801145606+0.6189872300838839j),,(-7.866040420322141+1.96450780829444j),,(480.454810442902-301.5692734186489j),(-7.836908574620219+2.009641530131657j),(-8.422555795473036+0.6414531203487597j),(-8.52893869248039-0.11160930504376487j),(-8.533966782826852-0.26001862772634804j),(-8.513483299466307+0.09329619541656897j),(-8.489496710386863+0.28840124974782577j),(-8.529890375810742-0.52997200621095j),(-8.360180958004383+0.8777923104410748j),(-7.9410593486532255+1.8421761883142822j),,(-8.09738766916156+1.5524363971559858j),(-8.07979740271293+1.5878614319528281j),,(-7.799621310714873+2.0656537945484335j),(-8.43151880911007+0.6022433592480665j),(-8.534385698381003-0.36774860081419075j),(-8.534485570800955-0.3536045063337338j),(-8.432739765206708+0.5967671372576138j),(-8.01540514635693+1.7110146736199068j),(-8.490442638024286+0.2819034043733313j),(-7.879014650755398+1.9439986335597428j),(-7.854964229447092+1.9818151046800534j),,(-8.434257730788206+0.5899110784269785j),(-7.419622031854754+0.8445985959971476j),(4.548903255852318+6.196379948967392j),(1.9711648510743065-8.266323994171103j),(-6.9098695554808485+3.704624708969748j),(6.305144026099596+3.829102984532162j),(-0.6421282146762927-8.290939800455048j),,(7.272922788568645+0.9829944161436313j),(-3.1751227655477767-7.278768657166468j),(-3.469913698509008+7.735164033666626j),(7.331218233836104-1.9860381882033376j),,,(6.472740481824744-4.706715536760261j),,(1.6514399395962074+8.01751571655031j),(4.804842685639705-6.838815310119324j),(-7.4064490397378515+0.17368780850011406j),(4.066245175533798+6.630780420342546j),(2.5360964559698624-8.115717164458484j),(-7.103859336464512+3.0898346323053216j),(5.972564035593435+4.4148620917221155j),,(-5.912927801154098+5.619595798969998j),(0.9983095928323166-0.05812019321177669j),15
(-2.7674827930381882+8.29431016903118j),,(8.277841333577967-2.7908802797816445j),(8.731043401418754-1.602864000005372j),(8.32577979293319-2.7024447078212184j),(7.858509382922245-3.4135684030108733j),(7.652853421319743-3.6515403959621464j),(7.814945204276472-3.46689056150149j),(7.549989181174558-3.75872842132914j),(8.711894584562948-1.6845505628159794j),(8.279278293452547-2.788297576554025j),(7.82931609470871-3.449486586583141j),(7.440280403291533-3.865540323278879j),(8.671263975691433-1.8387395643452786j),(8.551129154583178-2.202760412822254j),(7.530303642036895-3.7784424051336414j),(8.150290233653468-3.0055281758927426j),(8.426544183324621-2.498989624451029j),(8.629247925558198-1.9785005965966744j),(7.635040281355325-3.670621977759069j),,(8.147617588577607-3.009745611251478j),(8.156838764326665-2.9951500388599293j),(7.629951406407385-3.676032140091225j),(8.59801943135012-2.0728468529760593j),,(8.406059100438728-2.5425353208183905j),(8.296289099681907-2.7574114154354468j),,,,(8.2217959729878-2.8885977139177217j),(8.772473917783426-1.395268431105637j),,(8.328241810517934-2.697770732834262j),(7.951455006506616-3.293861132832313j),(8.04801290512897-3.1599048061222215j),(8.489492741925522-2.356806091362365j),(8.316906420307776-2.719179383542027j),(7.931210912802575-3.3206613216213543j),(-421.1988060746233+414.3444923330078j),(507.2591218581217-504.57618243444034j),(-186.371733362233+190.01255151021303j),(-284.0320379174902+276.98830190910326j),(526.5716254070451-521.7757958894491j),(-346.6700879088124+347.96961035553954j),(-111.34689461099455+104.99455970996422j),(480.0360342433221-473.72703596327545j),,(75.26224404302098-80.12881458195969j),(373.4716516993133-366.4384286413412j),(-522.5885968075386+519.0311115864567j),(252.45979434910714-255.23203298772793j),(220.20441714618866-213.3264780337215j),(-516.2100370688603+510.7442115767302j),,(39.40048935560219-33.537924562396j),(-445.2791053973923+438.5884443604903j),(612.8024353018906+61.069809537846254j),(-288.70613043386294-511.7349202450447j),(-267.00414041091994+551.8616255895445j),,(-461.8408139177873-373.08716496331044j),(-55.34014897841337+596.1241825526122j),(-0.9776569756715362+0.21020665527234217j),57
(4.28618978730035+7.201148250931183j),(2.472782851039177-7.838637316784309j),(2.20749781744121-7.841406657400475j),(2.0247213587419997-7.833686525843627j),(2.0907131508741594-7.837381815875028j),(3.8698465235922113-7.540607678319056j),(2.8898641636205564-7.800657280086302j),,(2.3023894289747853-7.84231572228877j),(4.118845540817733-7.43219256993771j),(3.7116939016321044-7.599939609130275j),(3.5321451851180523-7.658817667981349j),(1.785896503906109-7.811683067339328j),(1.7885979955539657-7.812008058920468j),(1.8086266087454863-7.8143629160944545j),(3.2698093945255406-7.729382430704142j),,(2.9067111657164606-7.798248486907999j),(1.8627040819223146-7.820241417083935j),(4.59603925497967-7.167336812525549j),(3.642377097429212-7.623718000424355j),(3.705510228407737-7.602115164095348j),(3.8179100786952045-7.56088344558553j),(4.085783936224493-7.447687234801189j),,(4.384332354040314-7.294762627659534j),,(2.8886242368335617-7.8008318512106545j),(3.765655187417924-7.58049841152266j),(4.2276463000565965-7.378721627001263j),(3.6302186864712285-7.627751877368104j),(4.495387125694784-7.230008544757455j),(3.9644601527605507-7.501631502019941j),(3.38863895219497-7.699641710356295j),(4.019485615283043-7.477726772849537j),,(2.705182058650448-7.82258415069076j),(3.4446103321088724-7.684365230049954j),(2.4749231768670463-7.838547682294761j),(4.020813368121984-7.477138530192248j),,,(6.252356506568039+5.779460087523841j),(-0.11989867020275602-7.563829937714354j),(-6.108747655403357+3.2801310315711327j),(7.436662328747947+3.63504700528509j),(-2.798528227850033-7.63401521957616j),(-4.084720033859689+5.508608663314885j),,(-5.127200167365041-6.749562361132067j),(-1.5498957444243204+7.04823150779875j),(6.98359062528598-1.6924697970730156j),(-6.814712678719882-5.021072717984323j),(1.1787439289954937+7.706468813281292j),(5.402869985434572-4.209364374772826j),(-7.650041319436153-2.66469494729583j),,(3.1465172428355137-6.199875435670303j),(-7.528727746534298+0.024904510250949752j),(5.8710301626786+6.170046013042764j),(0.49669064896114623-7.415088388586653j),,(7.2479035406695465+4.167516491628381j),(-2.2152474057622484-7.70304013152637j),(-0.5101920425905763+0.8600605093115574j),26
