v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,J,fault point
(98.59670079205395-154.38456154640912j),(53.95842814789526-84.4891178348392j),,(-7.0950330478486965+11.109535688821756j),(-1.639181890110139+2.5666617175476807j),,(-210.71561342463036+329.94245576385384j),(-24.11662157367111+37.762257942934596j),(165.6091792711558-259.31395598886587j),(-14.799692793617682+23.1736362840688j),(21.604949254193507-33.82943436287772j),(-6.757056914845738+10.580326326970395j),(20.32472602151554-31.824836837090707j),(1.9287949702638056-3.0201433050495643j),(-61.67209507652181+96.56732204577584j),(-71.70134681363794+112.27131233789342j),(15.593121836106015-24.416002345597505j),(20.959718358060204-32.81911973576025j),(-18.26107239373601+28.593529319201878j),(-244.33112082051306+382.5782471116681j),,(2.845239962535659-4.455130045748851j),(-49.34478680070781+77.26499176575147j),(-12.595878218366332+19.722862128376303j),(-14.451422779655546+22.62830857053095j),(-17.250701326251043+27.011471370003083j),(-11.029957956481574+17.270914841036646j),(-14.451422779655546+22.62830857053095j),(28.988244280478938-45.39033605881685j),(6.07336239436488-9.509784636141056j),(-73.34282202171632+114.84156497568657j),(34.08907382020736-53.377310528427195j),,(14.850334172670244-23.252931504277278j),(9.657390039242014-15.121722277863428j),(27.682614353895623-43.34595625565735j),(-12.716281722733195+19.911392191563035j),(-42.17020478818883+66.03089681750791j),(83.52468115285863-130.78451078483673j),(67.32501311037278-105.4187670241884j),(-12.59587821836633+19.722862128376303j),(-13.347743291889406+20.900146548498334j),(-172.73318374514116+270.46885567958174j),(-51.62918199430908+80.84194056352787j),(9.499625597024368-14.874691758142953j),(-11.24940089426377+17.61452270480698j),(-24.7206270868975+38.708021093039775j),(-23.702124600979385+37.113230816496674j),(-20.877819501729704+32.690880971946j),(20.98827163438425-32.86382899084272j),(68.42997394842048-107.14893540850106j),(58.85825471657416-92.16135808610632j),(-7.095033047848702+11.109535688821763j),(379.6246699785508-594.4234214332063j),(15.506820833088538-24.28087061801599j),(38.62209950360243-60.47520708062054j),(-14.026939128850353+21.963644116378546j),(-0.9349887119581632+1.464022844445278j),(-38.00460095927439+59.50831628959204j),,(6.36541197036782-9.967081334497339j),(3.1658441005829134-4.957138012392486j),(20.293687828756337-31.77623665329319j),(31.760640801606066-49.731406479111236j),(-0.8427900669730588-0.5382424203010638j),22
(273.6233598348544-7.235730717942096j),(209.3624824750474-5.536407953413143j),,(85.39922873983744-2.2583080006559193j),(9.301415153701138-0.24596779817552097j),(-461.6392575356044+12.207646885026168j),(-196.61029447768803+5.19918748192578j),(334.33995767168227-8.841328106710472j),(1014.5685211804397-26.82937823215513j),(167.76607461240818-4.436427285427033j),(-529.4745570621172+14.00149212119693j),(38.342414567516514-1.0139316579318962j),(-60.86898393924196+1.6096271061247107j),(-56.083796796376895+1.4830870123928457j),(119.41529459101221-3.157833146211617j),(-299.53367170288783+7.920906280467689j),(-187.68631089795156+4.9632005320057075j),(60.731326109104046-1.6059868650623421j),(-214.49860457106567+5.672228215410111j),(371.892551986809-9.834373658041972j),(123.25826681561165-3.259457189533485j),(-275.9882423864419+7.298267971096121j),(-125.03935586487408+3.306556533510976j),(16.886027534215422-0.4465362467849311j),(-91.91445494831085+2.430597466143973j),(353.62301132732676-9.35125161527379j),(62.588672251748946-1.6551027612573825j),(-91.91445494831085+2.430597466143973j),(-323.90222970204377+8.565311508781773j),(-90.69400016231789+2.3983236054977235j),(257.62497370543014-6.812667372677858j),(175.49633278155034-4.64084720968293j),(569.8979147056791-15.070452500897021j),(-84.2671116272045+2.2283701526113293j),,(-37.11129784641378+0.9813758517257606j),(85.14364238167165-2.2515492426902863j),(-314.3772794891454+8.313432521242353j),(-1003.2015272099311+26.528788006625j),(-1169.4868283107821+30.926057530118417j),(16.886027534215426-0.4465362467849312j),(199.3229044597115-5.27092008320869j),(-91.08203776712982+2.408584920973672j),,(-32.48101723018733+0.8589321257670464j),(-33.74936006580531+0.892472344051413j),(1430.4933082285675-37.82814588055351j),(-404.4759560621272+10.69601331448503j),(71.38521492645351-1.8877196477741771j),(-648.8469078797018+17.15818965683523j),(321.43760615530175-8.50013669214299j),(15.331447035283611-0.40542672354677006j),(85.39922873983737-2.2583080006559175j),(200.17571481422536-5.293471908032635j),(-53.02075429401632+1.4020875292417385j),(130.3295133504254-3.446450126821349j),(0.4779055978395292-0.012637796044354692j),,(456.4671567386548-12.070875197713477j),,(309.93684958337053-8.196009231471056j),(-228.32023112539352+6.037729055292477j),(170.39084883113418-4.505837146681427j),(202.00516119412052-5.341850019374536j),(0.026434885182147008+0.9996505373606352j),39
(161.90105359734068+220.70375549683743j),,(-22.922927412373255-31.248568520589785j),(50.53013426092278+68.88275369029625j),(5.503583152547272+7.502492685917014j),(-273.14876267149765-372.35679689180296j),(-116.33295433267459-158.58525524558473j),(197.8266455006102+269.6775754647922j),(600.3131919180735+818.3478302749525j),(99.26602850733322+135.31959674155217j),(-313.2864412346955-427.07253961855804j),(22.686942078679234+30.926872964994583j),,(-33.18439550100121-45.23701698185628j),(70.65720566252246+96.32000716570545j),(-177.23200630913448-241.60293288732288j),(-111.05269483759086-151.38719769951604j),(35.93430652032788+48.98569974680587j),(-126.91734395840591-173.01391082339526j),(220.04625638691024+299.967381857784j),(72.93106580547035+99.41973667253934j),(-163.30033828183207-222.61126244638783j),(-73.9849239036982-100.856357589276j),(9.991345952747631+13.620217566488709j),(-54.385148643516025-74.13791499300581j),(209.23629526628497+285.2312268848185j),(37.03328541442031+50.48382939913783j),(-54.385148643516025-74.13791499300581j),(-191.6507138971578-261.2585363771063j),(-53.66301396963645-73.15349993851154j),(152.43491893773353+207.79950674123583j),(103.83996891548743+141.55479906462685j),(337.20466296980163+459.67789483059306j),(-49.86026837870615-67.96959152983185j),(-31.74836021570979-43.279411558990795j),(-21.95849881137875-29.93385802662704j),(50.378905576730304+68.67659852454214j),,(-593.5874200352537-809.1792481059618j),(-691.9772850753857-943.3044575143633j),(9.991345952747633+13.620217566488712j),(117.9379869379073+160.77323806471293j),(-53.89261314235459-73.46648987002791j),(-190.5311055630402-259.7322846416489j),(-19.218793726729338-26.199088006910273j),(-19.969263429071738-27.222129414074292j),(846.4130179014389+1153.8314767046572j),(-239.3256317032787-326.24905477720864j),(42.23813900553255+57.57909350548915j),(-383.9182373628581-523.3579084694777j),(190.1924131541979+259.2705786494466j),(9.071511400497245+12.366297745668305j),(50.530134260922736+68.88275369029618j),(118.44258893898588+161.46111225820795j),(-31.372014392001898-42.76637637600514j),(77.11507357777408+105.12338225023903j),(0.28277344396686577+0.38547717665555026j),,,(-11.668366857073895-15.906334941314665j),(183.3874948632815+249.9941039799881j),(-135.09550500037707-184.16239204026246j),(100.81908929762304+137.4367315057541j),(119.52505973601006+162.93673804822328j),(-0.8063150306797021+0.5914863238486509j),39
(134.00879020561462+405.7471644921128j),(81.70227828413495+247.37532288344138j),(-3.9305767180303173-11.900863784476558j),(-12.62828414672984-38.23548050149963j),(-5.383036436544648-16.298570915642873j),(-384.86498756145755-1165.2808534108462j),(-644.2088601551163-1950.5132308677696j),(-47.48342271144839-143.7686594736781j),(668.4930268169035+2024.0399879555384j),(-38.115279456356014-115.40412042756415j),(-34.03843570807171-103.0603944047734j),(-22.190022837536556-67.18618108954811j),(19.365029466899934+58.63276419737172j),(-4.337525431385406-13.13300897647623j),(-105.15646409950459-318.3890927671624j),(-119.09580872583625-360.5941566912114j),(27.753834542128224+84.03209708835931j),(26.927740488702693+81.53087818124943j),(-42.953481271674626-130.05305998439533j),(177.8642601181224+538.5312343816091j),(9.532804436944641+28.863094458307145j),(12.271029411015386+37.15379701047558j),,(-13.38730109371387-40.53360567349546j),(-40.142689482857804-121.54264214881702j),(6.0699673184660545+18.378436401436947j),,(-40.142689482857804-121.54264214881702j),(57.333440014338606+173.5922000392917j),(-0.5145949235945165-1.5580726517279053j),(-129.77215473959788-392.91962665160634j),(104.13846097107442+315.30681822255326j),(50.525272303367394+152.97866610711543j),(48.768163209133675+147.65855216836007j),(16.237284888060476+49.16268770334098j),(29.421965423291613+89.08280588138159j),(8.638432159099292+26.15514511275072j),(-106.59798107368053-322.7536678367658j),(64.14941912162085+194.22938504614046j),(144.82727924379475+438.5030101690681j),(-13.387301093713868-40.53360567349545j),(1.1309519329559687+3.424257015302362j),(-15.445955927945915-46.7667293393088j),(-94.44603545621182-285.960428603839j),,(-13.764818586002527-41.67664003569865j),(107.84199162780415+326.5202398217786j),(-70.70196046221736-214.0689423250703j),(-19.917400675854523-60.305214574966534j),(-46.751918572125895-141.55383662594588j),(121.31811971103399+367.32279277157716j),(98.10139528286379+297.028000235422j),(-12.628284146729834-38.235480501499616j),(33.94637784423196+102.78166479931343j),(14.793478012190123+44.79117934885345j),(61.10092227425976+184.99925208335455j),(-22.435435849527728-67.92923409071396j),(-125.27579248085443-379.3056970413526j),(-29.18865468070102-88.37639571152306j),(-47.04622835132102-142.44493756199267j),,(23.475976103962076+71.07974576333518j),(46.92419544555922+142.07545056482172j),,(0.9495504608724843-0.3136142889870496j),5
(-38.49147795622083+17.919384512136514j),(-100.21774751684036+46.65553125128158j),(76.75394423863663-35.732154561576955j),(-0.8841714786754963+0.41161861124352905j),(1.7903423902912847-0.8334788738560813j),(85.0508995463907-39.59473247060808j),(224.8327336578757-104.66899218347952j),,(-186.9207697770213+87.01939558539756j),(-28.371606316450055+13.20816320406486j),(-166.66119123698303+77.58771883020293j),,(-51.43701602698418+23.94607111196918j),(6.526824734206283-3.038508476826714j),(82.77994862307249-38.537510327841446j),(172.9720586240321-80.5256901765424j),,(36.6717068887755-17.072205364619688j),(-12.600801275270628+5.866197277989995j),(-59.47279537161094+27.687060743357943j),(-14.344340977276751+6.677887553119435j),(-13.756802885665431+6.404364125645833j),(46.626439435868654-21.706547554070816j),(-2.4278691638679475+1.1302741126748002j),(-6.166361589718256+2.870697885197019j),(49.2663178947022-22.935520814670163j),(12.047108018801087-5.608430029464501j),(-6.166361589718256+2.870697885197019j),(-54.613129376101355+25.424684025240335j),(22.771662640109298-10.60115642462163j),(118.85653692384362-55.332663228513155j),(-10.775816978597797+5.016591155359772j),(5.634197212355943-2.622953225652819j),(-16.219788017262726+7.550986182376551j),(30.221574665858736-14.069400442760681j),(5.335853888065649-2.4840619949583944j),(-168.68612109955473+78.53040793293886j),(41.20161974608986-19.181068276794978j),(-12.854781306564501+5.984435549961151j),(33.655884711831185-15.668214661265573j),(-2.427869163867967+1.1302741126748093j),(-50.04646314728483+23.298710889425056j),(61.666373321327825-28.708262547638572j),(108.58571692077008-50.55116917678182j),(-5.422572071225399+2.524432917322063j),(134.44103405687662-62.587895071591134j),(-81.74286072628446+38.05470276153899j),(16.95041135681315-7.891121746145657j),(11.917467670897102-5.548077053540302j),,(-216.3680144023109+100.72831317655046j),(-87.74750475087687+40.850114391551095j),(-0.884171478675493+0.41161861124352744j),(-135.52738456684463+63.093636434009426j),(-8.85159659232688+4.120786504083508j),,(89.98717025189033-41.89277186853532j),(3.6258923996145174-1.6880037753350312j),(5.849059550202228-2.7229805837455188j),(-35.072007294515444+16.327478644433512j),(23.944229328252565-11.147035005196264j),(44.405586347012566-20.67264803767808j),(33.980713665107025-15.819436054246246j),(13.552132443289446-6.309081518951027j),(-0.42204773517856276-0.9065736093835104j),35
(-254.37802447780848+101.06393772807513j),(-194.63694446232876+77.32891264921219j),(36.01637457474514-14.309241707043036j),(-79.39266264356846+31.542563985025588j),(-8.64719888343778+3.435516771828204j),(429.1697990412252-170.50839959194957j),(182.78168330152823-72.61883842733404j),(-310.8241123413143+123.48986827196325j),(-943.2087094867142+374.7351465435228j),(-155.96622547160501+61.96510461586792j),(492.2338937655554-195.56365251790803j),(-35.645595746213736+14.161931936419137j),(56.587755869166436-22.48221499114547j),(52.13913549957046-20.714786012436985j),(-111.01620398503643+44.106540843624636j),(278.46593111915763-110.63402029239417j),(174.4853692921693-69.32272759332781j),(-56.459780220795196+22.431370493141948j),(199.41181672853622-79.22596092750638j),(-345.7354399474952+137.36007677931525j),(-114.58888024778936+45.52595878305806j),(256.5765727010229-101.93741703580713j),(116.24469616220503-46.18381150758953j),(-15.698346544769098+6.236925225326193j),,(-328.7508898568852+130.6121451676106j),,(85.44963955130684-33.948990162289434j),(301.12052335477483-119.6346495867501j),(84.31502561478933-33.49821005869752j),(-239.5048869617267+95.15486658550275j),(-163.15277490567618+64.82030795340333j),(-529.8140691801669+210.49418952364599j),(78.34017313842203-31.124411772286585j),(49.88284493915585-19.818365776599833j),(34.50106978320851-13.70721380229267j),(-79.15505298585163+31.448162089655973j),(292.26551178021873-116.11656920150678j),(932.6412145469023-370.5366995560863j),(1087.230816908564-431.9548742532086j),(-15.698346544769102+6.236925225326194j),(-185.3035015001732+73.62075232265803j),,(299.3614010396721-118.93575341254413j),(30.196460569125104-11.997000200119752j),(31.375594342936715-12.465467956067606j),(-1329.8793713940634+528.3587143674291j),(376.0270859693997-149.3948939909165j),(-66.36432635311103+26.36642909577112j),(603.210174433172-239.6543318983662j),(-298.8292494325479+118.72433052334331j),(-14.253107671711351+5.662734385654648j),(-79.39266264356839+31.54256398502556j),(-186.0963293251308+73.93574141063087j),(49.291532498451275-19.583438393199163j),(-121.16276971836352+48.1377534042688j),(-0.4442920441393539+0.17651644073482473j),(206.50314286186799-82.04333221663293j),(-424.36147864079516+168.5980624292829j),(18.33327235390855-7.283776573588781j),(-288.13740010165105+114.47647775699718j),,,(-187.79710135090625+74.61145511843041j),(-0.36922512653388945-0.9293399840403045j),39
(3.7230200699456137+22.766889540717678j),(4.647416997126989+28.419731141763535j),(-4.256348311997718-26.028280816516734j),(0.7430989054272462+4.544173917906778j),(-0.2700801070098475-1.651584962723081j),(-20.657215222446094-126.32232122109731j),(-56.436882762848796-345.1209640948785j),(-14.96789341287575-91.53116813392735j),(45.399432474234025+277.625112122282j),,(-11.713596030984661-71.63059611599475j),(-1.113327731134566-6.808185022147562j),(13.252506469810518+81.04129047583403j),(-1.5943150768911367-9.749502975204633j),(-22.65329802748413-138.528700956539j),(-10.918302991628288-66.76724635172859j),(-1.6331469762663704-9.986966525527402j),(9.210648378713042+56.32465318394416j),(-14.128867272219948-86.40038315098087j),(5.708818083155435+34.91037605637997j),(3.503908871381817+21.426987965889722j),(-7.523635101486317-46.008285231378686j),(-4.333051333930344-26.49733260645372j),(0.4994688590812056+3.0543354937907186j),(0.030370288660014788+0.1857193875541928j),(9.450648582001397+57.79229451151175j),(-1.8173530608006774-11.113417498267372j),(-41.49417433530561-253.74380635261667j),(-0.4710840542243927-2.8807576713055107j),(3.6739116073394196+22.466583089862038j),,(32.991745537136936+201.75003418943012j),(15.14129288887156+92.59153489055153j),,,(-1.0977085970523572-6.712671408551463j),(9.354397274584752+57.20370169091585j),(-27.61349912173549-168.8611590929297j),(24.5749421349517+150.27987562370225j),(14.838731025110985+90.74131856024545j),(0.4994688590812059+3.0543354937907203j),(-8.074345943419955-49.37597400866802j),(-5.667095174945205-34.655233504179414j),(-10.672611345579133-65.26480090110283j),(-2.608857429308425-15.953598907516295j),(-2.861775522788089-17.5002352911296j),(-3.1593364716724337-19.31987019172254j),(-11.023175171552008-67.40855724754992j),(5.733621178913515+35.06205112951496j),(-15.273735682146272-93.40144469181497j),(13.324802161887549+81.48339070759872j),(19.650663118856745+120.16708699488737j),(0.7430989054272469+4.544173917906782j),(12.45486876858499+76.16360271263623j),,(16.577224316435277+101.37249539712911j),(-2.214307470746946-13.540860013794688j),(-0.5188979359924896-3.1731475441173163j),(-11.181854950476916-68.3789105981247j),(-6.7734731067563905-41.42091934271987j),(21.181474381006108+129.52825353663806j),(1.4321722629814722+8.757972587307368j),(8.418511366194497+51.480603050905984j),(-0.06674635735726575-0.40816512311209124j),(0.9868916473537627-0.1613842507290491j),27
(-200.8107751060448+159.92706479365995j),(-103.42028856148463+82.36462003105771j),(-24.114166236564934+19.20468572527371j),(28.300775934902482-22.538930115985387j),(7.177046714515901-5.715848735374747j),(443.64109755060014-353.3187823991897j),(1082.7729259041876-862.3277101861412j),(49.36076553031978-39.31124882648033j),(-975.0130322096031+776.5069991612927j),(18.92169675431014-15.069367772892242j),(-42.49908890513741+33.84656297160436j),(29.58531534729948-23.56194602600286j),(-43.025174484240765+34.26554109890775j),(-5.680752955850121+4.524190226183086j),(129.38774492180983-103.04527859467906j),(123.40939001340942-98.28407615277649j),(-62.1980819868173+49.53497481743287j),(-20.987298565144876+16.714427080416044j),(28.90152113439868-23.017367671906246j),(388.60084662324067-309.4843528389695j),(12.484885181507234-9.943047330552377j),(17.770647020317174-14.152663949146696j),(-355.0911001100815+282.79696318570484j),,(27.670944076198104-22.037327747173585j),(63.90091120424504-50.891119568352195j),(48.2939227125649-38.461607962589255j),(27.670944076198104-22.037327747173585j),(-35.69354123842447+28.426578600367407j),(-9.546008791844098+7.602506218941153j),(139.25756350463726-110.90566912981821j),(-54.84306500119758+43.677389349738185j),(6.02791870845556-4.800675388803219j),(-65.02118082592133+51.783309901652686j),,(-51.31616611304306+40.8685431276731j),(52.99695287774362-42.20713311957289j),(63.6873706261358-50.72105440201181j),(-279.02420702424206+222.21677304019477j),(-291.0101921936983+231.76249301363345j),(23.349390730589985-18.59561331951226j),(20.9797582528383-16.70842192449659j),,(93.3994060955192-74.38392119366817j),(-21.581256075646884+17.18745887473372j),,(40.17970209047207-31.999387563837214j),(52.737487359839555-42.00049301935093j),(47.43024494661119-37.77376912543731j),(-37.669639303478824+30.00035651702393j),(-109.77546797836087+87.42592807013766j),(-131.10245972701398+104.4108891084063j),(28.300775934902486-22.53893011598539j),(-637.8819078798945+508.01348263477956j),(-35.22840641455243+28.056142068384055j),(-96.50555931158733+76.85768270563302j),(13.67233305598398-10.8887388805215j),(36.71016691325212-29.23622619065831j),(126.95892399190991-101.1109491144847j),,(0.6115567030085702-0.4870479107278968j),(-5.289569098371707+4.21264874596049j),(-49.28663760608813+39.25221284429583j),(-60.81386786930641+48.4325772954744j),(-0.6229796736809524-0.7822380239929366j),19
(49.50665654741509-4.154269402324054j),(-367.3882351342554+30.828777591359323j),(-1.8361338008561108+0.154076138431283j),(9.716567200281109-0.8153497050864954j),(0.923138071150623-0.07746360813981722j),(27.44829746547011-2.3032785944144947j),(277.2853694639094-23.267944280842066j),(90.55393367408625-7.598683937826545j),(-60.32454587403672+5.062034736552805j),(30.93791594283442-2.59610417136322j),,(3.8053717678682344-0.3193214933547804j),(-133.2818495770564+11.18412650332842j),(-6.807096882910505+0.5712063037875879j),,(-44.70210088666872+3.7511030411684527j),(-21.354603306412372+1.7919363031440465j),(-364.03928774211425+30.547756196431546j),,(67.51313946876604-5.665253707474928j),(14.960309603855212-1.255369697145008j),(-68.68372876073924+5.763481776536206j),(-23.542823400749572+1.9755571819797906j),(84.36726228007944-7.079539615290024j),(57.7605056565672-4.846877532156256j),(94.46035888524807-7.926485164145557j),(6.2117414633804096-0.5212480360444834j),(57.7605056565672-4.846877532156256j),(-234.49304185697292+19.677096713475798j),(-20.942158767283544+1.7573267001421247j),(488.21015477597575-40.967349632008705j),(-201.83573388824078+16.936712597112738j),(101.29259942613945-8.499801356507671j),(-8.363262751262226+0.701789395086492j),(-28.139827795562862+2.3613072210968875j),(-185.41830472669625+15.559071116409912j),(4.035366413525452-0.33862111457313204j),(269.38353636517087-22.604874993726682j),(-263.6971219521314+22.127708910365758j),(-84.87510956264008+7.122154782100461j),(84.3672622800795-7.079539615290029j),(46.02566767019404-3.862167964033231j),(-18.026435979439633+1.5126586330995042j),(357.99262785897446-30.040360708822117j),(-13.913615125761355+1.1675380569743108j),(140.58579354524005-11.797024910520474j),(69.3561011935433-5.819902799876549j),(135.91872575080586-11.40539561682295j),(30.578673048248632-2.565958896584853j),(-261.9091894634195+21.97767750551492j),(-517.7659737824938+43.44747741930556j),(-350.26156247472545+29.391621112715637j),(9.716567200281112-0.8153497050864957j),(39.617632589237445-3.3244482729379317j),(-22.712046352996712+1.905843896730415j),(-207.34568571852427+17.399071113990228j),,(-39.31467975243035+3.2990264854841653j),,(458.7407679647263-38.49447465977191j),(-21.613552234091312+1.8136655751661017j),(35.67342998536034-2.9934770190387616j),(-15.525273379971269+1.302777700274699j),(-126.9432567746864+10.652233946466751j),(-0.08361946536392129-0.9964977596624349j),36
,(16.286778850325557+16.8213099894384j),(-4.9310995553998245-5.092937957372969j),(-1.6275590888084464-1.6809754838924165j),(-5.386449575445818-5.563232538719086j),(-104.07837041642178-107.49421650894648j),(-234.78982962656883-242.49561824418066j),(-91.21942582964391-94.21324210516633j),(228.73842862489872+236.24561061191912j),(45.437172886284245+46.92841827029627j),(-39.27829082187508-40.567402053038066j),(-22.204092523123588-22.932829554455907j),(182.5581737851209+188.5497224814287j),(-15.349007738555311-15.852761284062428j),(-58.64607761447452-60.57083848707264j),(-34.073626249690925-35.19192069086512j),(3.5769709592750862+3.6943669391067058j),(88.72902404618507+91.64110547933048j),(-208.41429619856785-215.2544413358118j),(43.8278088503631+45.2662349998737j),(33.73330978397593+34.84043505844447j),(-121.99259838957755-125.99638840722201j),(-26.22663326684392-27.087389852541687j),(11.86342978889471+12.2527868678555j),(-36.28554437551973-37.47643384154747j),(173.89039159686106+179.59746418348186j),(-36.2451005043031-37.4346626048186j),(-36.28554437551973-37.47643384154747j),(-169.5222517386953-175.08596222801944j),(26.576512965183777+27.44875258232839j),(186.4961534409037+192.6169464015656j),(41.02541696063224+42.37186877053741j),,(48.799084886323165+50.400668027573296j),,(-26.072874480607997-26.92858471184178j),(10.837333051835756+11.193013695281543j),(-95.91227593422771-99.06011127853849j),(97.5932142552088+100.79621789791362j),(118.5652860173859+122.45659184136389j),(11.863429788894713+12.252786867855502j),,(-31.057476327077868-32.076780902380754j),(-71.02262256268098-73.353580924067j),(-33.05879001203774-34.14377758663562j),(-116.38224015808908-120.20189854332983j),(-59.72035752714692-61.68037620429461j),(-133.29664540772583-137.67143359417486j),,(-97.62646437449614-100.8305592841913j),(36.86162340562995+38.07141975207976j),(-53.853856578349145-55.62133703393777j),(-1.6275590888084497-1.68097548389242j),(68.25662530732598+70.49680379890009j),(-53.963888201651194-55.734979888747446j),(16.549433118774637+17.092584555774323j),(28.52093264802323+29.456988006606537j),(-12.414810966402351-12.822264343692423j),(-44.40593023413464-45.863330293996256j),(-52.311462364690406-54.02832153146773j),(303.5924920281853+313.5563800431987j),(-76.25849193158714-78.76129122258409j),(95.5222532005904+98.65728802135953j),(79.74662140699535+82.36390090546595j),(-0.7184294149440467+0.6955998675554467j),62
